Q_ID,Query_Nodes,Query_Nodes_Count,Total_Distance,Average_Distance,Level
1556,"['Injury_to_the_finger', 'Paresthesia']",2,3,3,B
2431,"['Sharp_abdominal_pain', 'Pain_or_soreness_of_breast', 'Nausea', 'Lower_abdominal_pain', 'Absence_of_menstruation']",5,26,2.6,B
1784,['Back_pain'],1,0,0,Z
480,"['Sharp_chest_pain', 'Fatigue', 'Shortness_of_breath', 'Burning_chest_pain', 'Irregular_heartbeat', 'Hematologic_tests_(Blood_test)']",6,30,2,A
4745,"['Disturbance_of_memory', 'Sleepiness']",2,4,4,B
4442,"['Eye_redness', 'Nosebleed']",2,2,2,A
500,"['Hyperkalemia', 'Fatigue', 'Weakness']",3,8,2.667,B
2570,"['Vomiting', 'Low_back_pain', 'Decreased_appetite', 'Blood_in_urine']",4,16,2.667,B
469,"['Back_pain', 'Leg_pain', 'Loss_of_sensation', 'Foot_or_toe_pain']",4,14,2.333,B
411,"['Skin_lesion', 'Diminished_vision', 'Eye_deviation']",3,8,2.667,B
4786,"['Skin_on_arm_or_hand_looks_infected', 'Hip_pain']",2,4,4,B
3906,"['Lack_of_growth', 'Recent_weight_loss', 'Physical_therapy_exercises_(Exercises)']",3,12,4,B
4120,"['Fatigue', 'Depression', 'Psychotherapy']",3,6,2,A
4351,"['Shortness_of_breath', 'Increased_heart_rate', 'Lower_body_pain']",3,10,3.333,B
1290,"['Leg_pain', 'Coagulation_(bleeding)_disorder', 'Prednisolone']",3,8,2.667,B
466,"['Lower_abdominal_pain', 'Stomach_bloating', 'Difficulty_eating']",3,12,4,B
4161,"['Muscle_cramps', 'or_spasms']",2,2,2,A
657,"['Weakness', 'Fatigue', 'Multivitamin']",3,12,4,B
1523,"['Difficulty_breathing', 'Nasal_congestion']",2,2,2,A
562,"['Fever', 'Fatigue', 'Chills', 'Palpitations', 'Sharp_chest_pain']",5,28,2.8,B
4875,"['Neck_mass', 'Abnormal_appearing_skin', 'Skin_swelling', 'Skin_moles']",4,16,2.667,B
557,['Dengue_fever'],1,0,0,Z
1927,"['Skin_moles', 'Injury_to_the_finger', 'Feet_turned_in']",3,10,3.333,B
3308,"['Eyelid_lesion_or_rash', 'Mass_on_eyelid', 'Diminished_vision', 'Pain_in_eye']",4,12,2,A
983,"['Knee_pain', 'contractures', 'Headache']",3,10,3.333,B
4667,"['Unpredictable_menstruation', 'Vaginal_itching', 'Long_menstrual_periods', 'Absence_of_menstruation']",4,22,3.667,B
2017,"['Congestion_in_chest', 'Facial_pain', 'Frontal_headache']",3,6,2,A
4743,"['Depression', 'Low_self-esteem', 'Pus_in_urine', 'Elbow_cramps_or_spasms']",4,24,4,B
4871,"['Dizziness', 'Paresthesia', 'Elbow_weakness', 'Back_pain', 'Disturbance_of_memory']",5,30,3,B
326,"['Throat_irritation', 'Difficulty_in_swallowing', 'Fever']",3,12,4,B
5074,"['Hand_or_finger_pain', 'Skin_on_arm_or_hand_looks_infected']",2,4,4,B
672,"['Painful_sinuses', 'Sore_throat', 'Difficulty_in_swallowing']",3,8,2.667,B
3435,"['Weakness', 'Sharp_chest_pain', 'Problems_with_movement', 'Leg_pain', 'Sweating']",5,32,3.2,B
5386,['Abnormal_appearing_skin'],1,0,0,Z
4782,"['Dizziness', 'Depressive_or_psychotic_symptoms', 'Diminished_hearing', 'Low_back_weakness']",4,20,3.333,B
4631,"['Feeling_hot_and_cold', 'Nailbiting', 'Back_pain', 'Fainting', 'Hand_or_finger_swelling']",5,40,4,B
4283,"['Nasal_congestion', 'Pain_in_eye']",2,4,4,B
2592,"['Blood_in_urine', 'Vomiting', 'Pain_in_testicles', 'Suprapubic_pain']",4,18,3,B
2137,['Coryza'],1,0,0,Z
1674,"['Neck_stiffness_or_tightness', 'Shoulder_swelling', 'Leg_cramps_or_spasms', 'Foot_or_toe_cramps_or_spasms']",4,18,3,B
2574,"['Skin_growth', 'Symptoms_of_the_scrotum_and_testes', 'Pain_in_testicles', 'Impotence', 'Excessive_urination_at_night', 'Blood_in_urine']",6,60,4,B
1956,"['Skin_swelling', 'Itching_of_skin']",2,2,2,A
2176,"['Depression', 'Problems_with_movement', 'Psychotherapy']",3,6,2,A
3243,"['Constipation', 'Incontinence_of_stool']",2,4,4,B
1073,['Fracture_of_the_arm'],1,0,0,Z
5288,"['Eye_redness', 'Sore_throat', 'Itchiness_of_eye', 'Swollen_eye', 'Fever']",5,32,3.2,B
2458,"['Eye_deviation', 'Abnormal_movement_of_eyelid']",2,2,2,A
3746,"['Bleeding_from_ear', 'Facial_pain', 'Diminished_hearing']",3,8,2.667,B
2591,"['Lower_body_pain', 'Side_pain']",2,2,2,A
595,"['Skin_irritation', 'Eye_redness', 'Itching_of_skin', 'Eyelid_lesion_or_rash', 'Hematologic_tests_(Blood_test)']",5,36,3.6,B
77,"['Stroke', 'Shoulder_weakness', 'Loss_of_sensation']",3,8,2.667,B
3755,"['Pain_in_testicles', 'Elbow_cramps_or_spasms', 'Sharp_abdominal_pain']",3,10,3.333,B
5089,"['Nausea', 'Excessive_growth', 'Knee_lump_or_mass', 'Vulvar_irritation']",4,22,3.667,B
4613,"['Nausea', 'Burning_abdominal_pain', 'Chills', 'Side_pain']",4,12,2,A
820,"['Diminished_vision', 'Diabetic_retinopathy', 'Adderall']",3,8,2.667,B
601,"['Lump_in_throat', 'Hashimoto_thyroiditis', 'Hematologic_tests_(Blood_test)']",3,8,2.667,B
4405,"['Neck_pain', 'Wrist_weakness', 'Vulvar_irritation', 'Back_pain']",4,22,3.667,B
1747,"['Depression', 'Emotional_symptoms', 'Wrist_weakness', 'Excessive_anger']",4,14,2.333,B
4145,"['Lower_abdominal_pain', 'Swelling_of_scrotum', 'Pain_during_intercourse']",3,10,3.333,B
1086,"['Blindness', 'Adderall']",2,4,4,B
2860,"['Nausea', 'Vomiting', 'Abnormal_appearing_skin']",3,8,2.667,B
564,"['Feeling_ill', 'Nausea', 'Headache', 'Fever', 'Stroke']",5,24,2.4,B
2002,"['Blindness', 'Itching_of_skin']",2,4,4,B
3028,"['Abusing_alcohol', 'Hostile_behavior', 'Depression', 'Smoking_problems', 'Slurring_words']",5,32,3.2,B
2335,"['Fever', 'Elbow_cramps_or_spasms', 'Elbow_weakness', 'Underweight', 'Coughing_up_sputum']",5,32,3.2,B
1293,"['Drug_abuse', 'Adderall']",2,4,4,B
3590,"['Sharp_abdominal_pain', 'Nausea']",2,2,2,A
4451,['Jaw_swelling'],1,0,0,Z
2479,"['Delusions_or_hallucinations', 'Seizures', 'Nausea', 'Anxiety_and_nervousness', 'Panic_disorder']",5,28,2.8,B
5011,"['Facial_pain', 'Allergic_reaction', 'Hoarse_voice', 'Frontal_headache']",4,20,3.333,B
5358,"['Skin_swelling', 'Itchy_eyelid', 'Skin_dryness', 'peeling', 'scaliness', 'Skin_rash']",6,40,2.667,B
65,"['Difficulty_breathing', 'Sharp_chest_pain', 'Fainting']",3,8,2.667,B
4544,"['Nasal_congestion', 'Coryza', 'Diarrhea', 'Chills', 'Sore_throat']",5,30,3,B
2453,"['Foot_or_toe_pain', 'Foot_or_toe_cramps_or_spasms']",2,4,4,B
5435,"['Leg_pain', 'Leg_cramps_or_spasms', 'Weakness', 'Problems_with_movement', 'Back_pain']",5,30,3,B
849,['Lung_contusion'],1,0,0,Z
1101,['Injury_to_the_knee'],1,0,0,Z
946,"['Diminished_vision', 'Choledocholithiasis', 'Adderall']",3,10,3.333,B
877,"['Chronic_sinusitis', 'Nasal_congestion', 'Headache', 'Adderall']",4,15,2.5,B
2232,"['Absence_of_menstruation', 'Scanty_menstrual_flow']",2,4,4,B
2309,"['Excessive_appetite', 'Weight_gain']",2,2,2,A
4955,"['Regurgitation', 'Heartburn', 'Lower_body_pain', 'Vomiting', 'Back_pain']",5,30,3,B
1726,"['Headache', 'Seizures', 'Depressive_or_psychotic_symptoms', 'Delusions_or_hallucinations']",4,12,2,A
2809,"['Peripheral_edema', 'Skin_rash', 'Cough', 'Vomiting', 'Wheezing']",5,26,2.6,B
1668,['Lower_abdominal_pain'],1,0,0,Z
5196,"['Skin_swelling', 'Skin_moles', 'Skin_dryness', 'peeling', 'Itching_of_skin']",5,22,2.2,B
2163,"['Redness_in_ear', 'Cough', 'Mouth_ulcer', 'Abnormal_appearing_skin', 'Decreased_appetite']",5,32,3.2,B
4141,"['Eye_redness', 'Itchiness_of_eye', 'Eyelid_swelling', 'Spots_or_clouds_in_vision', 'Double_vision']",5,24,2.4,B
2058,"['Sharp_chest_pain', 'Regurgitation']",2,4,4,B
417,"['Skin_rash', 'Abnormal_appearing_skin', 'peeling']",3,6,2,A
757,"['Pain_or_soreness_of_breast', 'Headache', 'Knee_swelling']",3,10,3.333,B
5197,"['Itchiness_of_eye', 'Neck_pain', 'Nailbiting', 'Impotence', 'Knee_lump_or_mass']",5,40,4,B
2267,"['Seizures', 'Cough', 'Allergic_reaction', 'Focal_weakness', 'Abnormal_involuntary_movements']",5,32,3.2,B
362,"['Itchy_eyelid', 'Eye_redness', 'Wheezing', 'Nasal_congestion', 'Allergic_reaction']",5,32,3.2,B
30,"['Injury_to_the_hip', 'Headache', 'Problems_with_movement']",3,6,2,A
2733,"['Excessive_anger', 'Temper_problems', 'Drug_abuse']",3,8,2.667,B
1072,"['Painful_urination', 'Vaginal_discharge', 'Vaginitis']",3,4,1.333,A
5220,"['Constipation', 'Fluid_retention', 'Vomiting', 'Diarrhea', 'Sharp_abdominal_pain']",5,22,2.2,B
2146,"['Abnormal_appearing_skin', 'Changes_in_stool_appearance', 'Drainage_in_throat', 'Infant_feeding_problem', 'Irregular_appearing_scalp']",5,38,3.8,B
3620,"['Diminished_vision', 'Eye_burns_or_stings', 'Pain_in_eye', 'Spots_or_clouds_in_vision', 'Double_vision', 'Blindness']",6,32,2.133,B
4520,"['Sharp_chest_pain', 'Sharp_abdominal_pain']",2,2,2,A
3504,"['Skin_swelling', 'Warts']",2,2,2,A
4595,"['Slurring_words', 'Lack_of_growth']",2,4,4,B
80,"['Problems_with_movement', 'Temper_problems', 'Symptoms_of_bladder', 'Incontinence_of_stool', 'Disturbance_of_memory', 'Headache']",6,52,3.467,B
617,"['Headache', 'Seizures', 'Hand_or_finger_weakness']",3,10,3.333,B
1222,"['Skin_moles', 'Adderall']",2,4,4,B
4470,"['Kidney_mass', 'Increased_heart_rate', 'Excessive_urination_at_night', 'Symptoms_of_prostate']",4,18,3,B
296,"['Open_wound_of_the_hip', 'Shoulder_pain']",2,3,3,B
3025,"['Knee_stiffness_or_tightness', 'Blood_in_stool']",2,4,4,B
4772,"['Fatigue', 'Muscle_swelling']",2,4,4,B
4527,"['Heartburn', 'Upper_abdominal_pain']",2,4,4,B
1214,"['Suprapubic_pain', 'Nausea', 'Bone_marrow_transplant_(Bmt)', 'Adderall']",4,20,3.333,B
3521,"['Shortness_of_breath', 'Sinus_congestion', 'Vomiting', 'Cough', 'Sore_throat']",5,26,2.6,B
1045,"['Eye_redness', 'White_discharge_from_eye', 'Symptoms_of_eye']",3,6,2,A
343,"['Fever', 'Skin_rash', 'Sore_throat']",3,8,2.667,B
2526,"['Wheezing', 'Nasal_congestion', 'Coryza']",3,6,2,A
2988,"['Back_pain', 'Suprapubic_pain']",2,2,2,A
327,"['Nausea', 'Vomiting', 'Stomach_bloating', 'Sharp_abdominal_pain', 'Abdominal_distention']",5,28,2.8,B
2932,"['Nosebleed', 'Lack_of_growth']",2,4,4,B
1721,"['Leg_cramps_or_spasms', 'Jaundice', 'Chest_tightness', 'Coughing_up_sputum', 'Flushing']",5,20,2,A
2045,"['Painful_urination', 'Constipation']",2,2,2,A
843,['Idiopathic_nonmenstrual_bleeding'],1,0,0,Z
2898,"['Sharp_chest_pain', 'Coryza', 'Nasal_congestion', 'Weakness', 'Wheezing']",5,26,2.6,B
4587,"['Skin_rash', 'Pelvic_pain', 'Problems_during_pregnancy']",3,10,3.333,B
1267,"['Diminished_vision', 'Focal_weakness', 'Eye_alignment_disorder']",3,6,2,A
1940,"['Lower_body_pain', 'Skin_swelling', 'Pain_of_the_anus']",3,6,2,A
1332,"['Shortness_of_breath', 'Sore_throat', 'Abscess_of_the_lung', 'Adderall']",4,15,2.5,B
1451,"['Injury_to_the_finger', 'Headache']",2,3,3,B
3378,"['Itchy_eyelid', 'Cross-eyed', 'Excessive_growth', 'Wrist_weakness', 'Emotional_symptoms']",5,22,2.2,B
204,"['Leg_pain', 'Leg_swelling', 'Peripheral_edema']",3,6,2,A
1470,"['Viral_warts', 'Adderall']",2,5,5,C
2722,"['Foot_or_toe_pain', 'Ankle_pain', 'Ankle_swelling', 'Knee_pain', 'Foot_or_toe_swelling']",5,26,2.6,B
3373,"['Blindness', 'Decreased_appetite']",2,4,4,B
2033,"['Throat_irritation', 'Blood_in_stool', 'Low_self-esteem', 'Depression', 'Abusing_alcohol']",5,20,2,A
1305,"['Vaginitis', 'Vaginal_yeast_infection', 'Atrophic_vaginitis']",3,6,2,A
886,"['Difficulty_in_swallowing', 'Asthma', 'Meloxicam']",3,10,3.333,B
3134,"['Joint_pain', 'Arm_pain', 'Wrist_pain']",3,8,2.667,B
318,"['Mouth_ulcer', 'Toothache', 'Gum_pain']",3,10,3.333,B
3856,"['Fatigue', 'Wrist_pain', 'Pain_during_pregnancy', 'Facial_pain', 'Excessive_urination_at_night']",5,20,2,A
1823,"['Postpartum_depression', 'Anxiety_and_nervousness', 'Insomnia']",3,6,2,A
1635,"['Smoking_problems', 'Difficulty_breathing']",2,4,4,B
3771,"['Vomiting', 'Low_back_pain', 'Side_pain', 'Dizziness']",4,14,2.333,B
2865,"['Skin_rash', 'Nosebleed']",2,4,4,B
2501,"['Rectal_bleeding', 'Mass_on_ear']",2,6,6,C
1865,"['Pain_in_eye', 'Pus_draining_from_ear']",2,2,2,A
1827,"['Depression', 'Drug_abuse', 'Prenatal']",3,10,3.333,B
194,"['Stiffness_all_over', 'Headache', 'Shoulder_pain', 'Neck_mass', 'Hip_pain', 'Fever', 'Fatigue']",7,68,3.238,B
5407,"['Drug_abuse', 'Hostile_behavior', 'Depression', 'Depressive_or_psychotic_symptoms']",4,12,2,A
1583,"['Diarrhea', 'Depression']",2,2,2,A
3265,['Pain_in_eye'],1,0,0,Z
2690,"['Pain_in_eye', 'Sharp_abdominal_pain']",2,4,4,B
2283,"['Sinus_congestion', 'Neck_pain', 'Headache']",3,8,2.667,B
569,"['Headache', 'Fever', 'Neck_stiffness_or_tightness']",3,8,2.667,B
2287,"['Unpredictable_menstruation', 'Feeling_cold']",2,6,6,C
2877,"['Throat_feels_tight', 'Throat_irritation']",2,4,4,B
5256,"['Difficulty_breathing', 'Apnea', 'Ortho_Cyclen']",3,10,3.333,B
4174,"['Jaw_swelling', 'Swollen_eye', 'Gum_pain', 'Skin_irritation', 'Pain_in_eye']",5,36,3.6,B
3275,"['Inactivated', 'Anxiety_and_nervousness', 'Panic_disorder', 'Disturbance_of_memory', 'Slurring_words']",5,34,3.4,B
2713,['Weight_gain'],1,0,0,Z
227,"['Leg_pain', 'Injury_to_the_knee', 'Eating_disorder', 'Crushing_injury']",4,17,2.833,B
945,"['Frequent_urination', 'Painful_urination', 'Incontinence_of_stool']",3,10,3.333,B
2140,"['Hurts_to_breath', 'Skin_rash']",2,4,4,B
1463,"['Chronic_pain_disorder', 'Adderall']",2,3,3,B
4757,['Pain_in_testicles'],1,0,0,Z
2175,"['Depression', 'Fainting', 'Drug_abuse']",3,6,2,A
314,['Cysticercosis'],1,0,0,Z
889,"['Seizures', 'Adderall']",2,2,2,A
4888,"['Headache', 'Smoking_problems', 'Depression']",3,10,3.333,B
3560,"['Suprapubic_pain', 'Heavy_menstrual_flow', 'Vaginal_pain', 'Painful_menstruation']",4,18,3,B
2832,"['Nasal_congestion', 'Shortness_of_breath']",2,2,2,A
3575,"['Paresthesia', 'Hand_or_finger_weakness', 'Hand_or_finger_pain', 'Shoulder_pain', 'Sharp_chest_pain']",5,34,3.4,B
4967,"['Low_back_weakness', 'Sore_throat']",2,4,4,B
4190,['Vaginal_discharge'],1,0,0,Z
948,"['Spondylitis', 'Levocetirizine_(Xyzal)']",2,3,3,B
3156,"['Fever', 'Nosebleed', 'Difficulty_breathing', 'Nasal_congestion', 'Sinus_congestion']",5,24,2.4,B
4724,"['Weight_gain', 'Diarrhea', 'Headache']",3,6,2,A
1558,"['Hematologic_tests_(Blood_test)', 'Adderall']",2,2,2,A
2087,"['Excessive_appetite', 'Abnormal_breathing_sounds']",2,4,4,B
364,"['Symptoms_of_the_kidneys', 'Kidney_mass']",2,4,4,B
3573,"['Decreased_appetite', 'Shoulder_pain', 'Arm_pain']",3,10,3.333,B
14,"['Injury_to_the_knee', 'Headache', 'Eating_disorder', 'Bowlegged_or_knock-kneed', 'Hematologic_tests_(Blood_test)']",5,32,3.2,B
4260,"['Foot_or_toe_stiffness_or_tightness', 'Knee_swelling', 'Problems_with_movement', 'Loss_of_sensation', 'Skin_on_leg_or_foot_looks_infected']",5,32,3.2,B
4411,"['Itchy_scalp', 'Abnormal_appearing_skin']",2,2,2,A
1615,"['Sharp_abdominal_pain', 'Burning_abdominal_pain', 'Lower_abdominal_pain', 'Lack_of_growth']",4,18,3,B
2984,"['Vaginal_itching', 'Other_OR_therapeutic_procedures;_male_genital']",2,4,4,B
3534,"['Fluid_retention', 'Pain_during_pregnancy', 'Pain_of_the_anus', 'Leg_cramps_or_spasms', 'Foot_or_toe_cramps_or_spasms']",5,36,3.6,B
574,"['Itching_of_skin', 'Skin_rash', 'Warts', 'Injury_to_the_finger', 'Feet_turned_in']",5,36,3.6,B
5442,"['Diminished_vision', 'Abnormal_involuntary_movements', 'Skin_swelling', 'Fluid_retention']",4,20,3.333,B
2705,"['Difficulty_breathing', 'Hurts_to_breath', 'Painful_sinuses']",3,12,4,B
5105,"['Wrist_swelling', 'Ankle_pain', 'Joint_pain', 'Foot_or_toe_lump_or_mass']",4,22,3.667,B
2572,"['Lower_abdominal_pain', 'Lack_of_growth']",2,4,4,B
1021,"['Feeling_ill', 'Hyperkalemia']",2,1,1,A
2461,"['Sleepiness', 'Difficulty_speaking', 'Depressive_or_psychotic_symptoms', 'Delusions_or_hallucinations']",4,20,3.333,B
4155,"['Ankle_pain', 'Ankle_swelling', 'Foot_or_toe_stiffness_or_tightness', 'Foot_or_toe_pain']",4,16,2.667,B
2534,"['Eye_burns_or_stings', 'Pain_in_eye', 'Itchy_eyelid', 'Bleeding_from_eye']",4,16,2.667,B
3346,"['Skin_growth', 'Foot_or_toe_pain', 'Nailbiting', 'Headache', 'Nausea']",5,36,3.6,B
2673,"['Peripheral_edema', 'Symptoms_of_eye', 'Diminished_hearing', 'Itching_of_skin', 'Neck_swelling']",5,36,3.6,B
3297,"['Infertility', 'Acne_or_pimples', 'Unpredictable_menstruation']",3,8,2.667,B
2423,"['Sweating', 'Feeling_ill', 'Fainting', 'Dizziness', 'Problems_with_movement']",5,30,3,B
4542,"['Diarrhea', 'Nasal_congestion']",2,2,2,A
1043,"['Liver_cancer', 'Adderall']",2,3,3,B
1572,"['Hoarse_voice', 'Lump_in_throat']",2,2,2,A
3445,"['Involuntary_urination', 'Blood_in_urine', 'Symptoms_of_prostate']",3,10,3.333,B
5448,"['Open_wound_of_the_hip', 'Knee_weakness', 'Diminished_hearing', 'Facial_pain', 'Neck_pain']",5,34,3.4,B
3106,"['Painful_sinuses', 'Sinus_congestion']",2,2,2,A
1426,"['Subdural_hemorrhage', 'Adderall']",2,3,3,B
5043,"['Excessive_growth', 'Ear_pain', 'Vulvar_irritation', 'Nosebleed', 'Pelvic_pressure']",5,42,4.2,C
4663,"['Eye_redness', 'Coughing_up_sputum', 'Nosebleed', 'Flu-like_syndrome']",4,22,3.667,B
2466,"['Skin_lesion', 'Skin_rash', 'Hand_or_finger_pain', 'Gum_pain']",4,24,4,B
3327,"['Blindness', 'Spots_or_clouds_in_vision', 'Diminished_vision']",3,6,2,A
4489,"['Lower_abdominal_pain', 'Painful_urination', 'Blood_in_urine', 'Back_pain', 'Frequent_urination']",5,20,2,A
4,"['Cryptorchidism', 'Pain_in_testicles', 'Hematologic_tests_(Blood_test)']",3,8,2.667,B
2490,"['Changes_in_stool_appearance', 'Symptoms_of_prostate']",2,2,2,A
2351,"['Pain_in_eye', 'Diminished_vision', 'Itchiness_of_eye']",3,6,2,A
1722,"['Seizures', 'Facial_pain', 'Hostile_behavior', 'Delusions_or_hallucinations', 'Sleepiness']",5,28,2.8,B
3522,"['Recent_pregnancy', 'Excessive_anger', 'Nasal_congestion']",3,10,3.333,B
4752,"['Loss_of_sensation', 'Neck_pain', 'Low_back_pain']",3,10,3.333,B
5364,"['Focal_weakness', 'Vaginal_discharge', 'Pain_during_intercourse', 'Painful_urination']",4,20,3.333,B
2640,"['Eye_burns_or_stings', 'Diminished_vision', 'Acne_or_pimples', 'Spots_or_clouds_in_vision', 'Eyelid_swelling']",5,30,3,B
3810,"['Slurring_words', 'Sharp_chest_pain', 'Fainting', 'Irregular_heartbeat']",4,18,3,B
3623,"['Gum_pain', 'Knee_swelling', 'Mouth_ulcer']",3,12,4,B
1751,"['Fever', 'Sharp_abdominal_pain']",2,2,2,A
4188,"['Fever', 'Anxiety_and_nervousness']",2,4,4,B
3877,"['Mouth_ulcer', 'Frontal_headache', 'Temper_problems', 'Arm_stiffness_or_tightness', 'Abnormal_appearing_tongue']",5,40,4,B
1391,"['Sharp_abdominal_pain', 'Lower_abdominal_pain', 'Constipation', 'Fever']",4,14,2.333,B
5398,"['Allergic_reaction', 'Abnormal_appearing_skin']",2,4,4,B
695,"['Pain_during_intercourse', 'Vaginal_pain', 'Pap_smear']",3,6,2,A
2325,"['Knee_lump_or_mass', 'Leg_swelling']",2,4,4,B
4223,"['Leg_cramps_or_spasms', 'Fatigue', 'Sharp_chest_pain', 'Lymphedema']",4,12,2,A
5439,"['Diminished_vision', 'Fluid_retention', 'Headache', 'Abnormal_involuntary_movements', 'Spots_or_clouds_in_vision']",5,30,3,B
5186,['Cough'],1,0,0,Z
5073,"['Open_wound_of_the_hip', 'Hand_or_finger_swelling']",2,3,3,B
2746,"['Blood_in_urine', 'Sharp_abdominal_pain', 'Symptoms_of_the_kidneys']",3,8,2.667,B
766,"['Leg_pain', 'Leg_swelling', 'Culture_wound', 'Unusual_color_or_odor_to_urine']",4,20,3.333,B
1925,"['Skin_swelling', 'Skin_dryness', 'peeling', 'scaliness', 'Knee_lump_or_mass']",5,28,2.8,B
2543,"['Knee_pain', 'Fluid_retention', 'Knee_swelling']",3,10,3.333,B
1632,"['Arm_stiffness_or_tightness', 'Difficulty_eating', 'Infant_feeding_problem']",3,6,2,A
1208,"['Mouth_ulcer', 'Adderall']",2,4,4,B
201,"['Low_back_pain', 'Leg_pain', 'Back_pain']",3,6,2,A
379,"['Weakness', 'Recent_weight_loss', 'Biopsy', 'Hematologic_tests_(Blood_test)']",4,18,3,B
3893,"['Low_back_pain', 'Headache', 'Problems_with_movement']",3,8,2.667,B
5008,"['Frontal_headache', 'Nasal_congestion']",2,2,2,A
597,"['Retinopathy_due_to_high_blood_pressure', 'Hematologic_tests_(Blood_test)']",2,3,3,B
3731,"['Sharp_abdominal_pain', 'Burning_abdominal_pain']",2,2,2,A
3396,['Gum_pain'],1,0,0,Z
5160,"['Abnormal_involuntary_movements', 'Problems_with_movement', 'Fainting', 'Blood_in_urine']",4,20,3.333,B
4716,"['Eyelid_lesion_or_rash', 'Skin_rash', 'Swollen_eye', 'Itchy_eyelid']",4,20,3.333,B
1593,"['Arm_swelling', 'Hand_or_finger_stiffness_or_tightness', 'Wrist_swelling', 'Wrist_pain']",4,12,2,A
3146,"['Muscle_pain', 'Shoulder_weakness']",2,4,4,B
4050,"['Regurgitation', 'Weight_gain', 'Heartburn', 'Rectal_bleeding']",4,20,3.333,B
3274,"['Vomiting', 'Chills', 'Emotional_symptoms']",3,10,3.333,B
1999,"['Symptoms_of_eye', 'Spots_or_clouds_in_vision', 'Swollen_eye', 'Diminished_vision']",4,12,2,A
1209,"['Fatigue', 'Weight_gain', 'Hyperkalemia']",3,10,3.333,B
5375,"['Drug_abuse', 'Arm_pain', 'Elbow_weakness']",3,12,4,B
46,"['Shortness_of_breath', 'Coughing_up_sputum', 'Emphysema']",3,6,2,A
874,"['Cornea_infection', 'Itchiness_of_eye', 'Pain_in_eye']",3,4,1.333,A
3483,"['Abnormal_appearing_skin', 'Pelvic_pain', 'Knee_pain']",3,8,2.667,B
1793,"['Vomiting', 'Wrist_weakness', 'Seizures']",3,6,2,A
1441,"['Bones_are_painful', 'Headache', 'Diminished_hearing', 'Excessive_growth', 'Levocetirizine_(Xyzal)']",5,34,3.4,B
4244,"['Leg_stiffness_or_tightness', 'Leg_pain', 'Knee_stiffness_or_tightness']",3,12,4,B
3806,"['Leg_swelling', 'Eyelid_swelling']",2,4,4,B
412,"['Toothache', 'Teething_syndrome']",2,3,3,B
4567,"['Painful_menstruation', 'Jaundice', 'Heavy_menstrual_flow', 'Swollen_abdomen']",4,22,3.667,B
2042,"['Sleepiness', 'Shortness_of_breath', 'Increased_heart_rate']",3,10,3.333,B
995,"['Other_therapeutic_procedures', 'Headache', 'Adderall']",3,10,3.333,B
3740,"['Frequent_urination', 'Blood_in_urine', 'Lower_abdominal_pain']",3,6,2,A
1093,"['Spondylitis', 'Elbow_pain']",2,3,3,B
3807,"['Arm_swelling', 'Eyelid_swelling', 'Skin_rash', 'Fluid_retention']",4,24,4,B
4352,"['Sharp_chest_pain', 'Sharp_abdominal_pain']",2,2,2,A
4579,['Sore_throat'],1,0,0,Z
4878,"['Chest_tightness', 'Fainting', 'Depressive_or_psychotic_symptoms', 'Dizziness', 'Sharp_chest_pain']",5,22,2.2,B
2600,"['Sharp_chest_pain', 'Headache']",2,2,2,A
3626,"['Gum_pain', 'Ear_pain', 'Headache', 'Toothache', 'Peripheral_edema']",5,34,3.4,B
5019,"['Pus_in_sputum', 'Back_weakness']",2,2,2,A
4136,"['Elbow_weakness', 'Difficulty_in_swallowing', 'Leg_stiffness_or_tightness', 'Itchy_eyelid']",4,24,4,B
3496,"['Pain_in_eye', 'Eye_burns_or_stings']",2,2,2,A
3653,"['Fainting', 'Dizziness', 'Palpitations', 'Increased_heart_rate', 'Weakness']",5,20,2,A
1304,"['Cholesteatoma', 'Shoulder_weakness']",2,5,5,C
3889,"['Knee_pain', 'Abusing_alcohol']",2,4,4,B
3687,"['Sore_throat', 'Headache', 'Coughing_up_sputum', 'Throat_swelling', 'Feeling_ill']",5,30,3,B
2124,"['Ear_pain', 'Fever', 'Diminished_hearing', 'Fluid_in_ear', 'Bleeding_from_ear']",5,22,2.2,B
2026,"['Elbow_cramps_or_spasms', 'Sharp_abdominal_pain', 'Diarrhea', 'Depressive_or_psychotic_symptoms', 'Delusions_or_hallucinations', 'Nausea']",6,38,2.533,B
5224,"['Weakness', 'Nausea']",2,2,2,A
2272,"['Low_back_pain', 'Problems_with_movement', 'Abnormal_involuntary_movements', 'Arm_pain', 'Neck_pain']",5,30,3,B
4271,"['Excessive_appetite', 'Leg_stiffness_or_tightness', 'Itching_of_the_anus']",3,14,4.667,C
3970,"['Cough', 'Excessive_anger', 'Problems_during_pregnancy', 'Ache_all_over', 'Eye_redness']",5,34,3.4,B
5135,"['Excessive_anger', 'Delusions_or_hallucinations', 'Seizures']",3,6,2,A
1960,"['Hot_flashes', 'Premenstrual_tension_or_irritability', 'Excessive_anger', 'Warts']",4,22,3.667,B
2250,"['Elbow_weakness', 'Feeling_hot_and_cold']",2,2,2,A
3604,"['Hand_or_finger_swelling', 'Fluid_retention']",2,4,4,B
635,"['Headache', 'Eye_moves_abnormally']",2,4,4,B
