Question_ID,Question,GreedyDist+PR
582,"Doctor, I have been experiencing a persistent cough and difficulty breathing for the past few days. I think I might have tracheitis. ",7
583,"Hi Doctor, I have been experiencing intense pain in my jaw recently, and I think I have a jaw disorder.",2
584,"Doctor, I am having some issues with pain and swelling in the tissues surrounding my rectum. ",14
585,"Doctor, I have been experiencing a lot of pain and discomfort in my breasts lately. I noticed a small lump that seems to be causing me immense pain. Do you know what could be the reason?",14
586,"Doctor, I have been experiencing nightmares and flashbacks related to a traumatic event that I experienced a few months ago. I also feel anxious all the time and avoid certain situations because they trigger me. What could be wrong with me?",10
587,"Doctor, I have been having some strange symptoms lately, like blood in my urine and pain in my side. I am worried it could be kidney cancer. ",14
588,"Doctor, I think I might have vulvar cancer. I have been experiencing discomfort, itching and abnormal discharge in my vaginal area. ",11
589,"Doctor, my eyes are red and itchy, and my eyelids are swollen. It's been like this for a couple of weeks now. ",3
590,"Doctor, I am experiencing abdominal pain, bloating, and diarrhea after consuming foods with wheat. I also have a skin rash and feel lethargic. What could be the problem?",14
591,"Doctor, I have been having frequent urges to urinate, but when I do, it's only a little bit and it hurts. I also feel some pain in my lower abdomen.",5
592,"Doctor, I've been having a lot of pain in my joints and bones. Sometimes it's so bad that I can't even stand up properly. My energy levels have also been low and I feel very tired all the time.",13
593,"Doctor, I have a red patch on my white part of the eye. It's painless, but it looks weird. What could it be?",16
594,"Doctor, I have been experiencing pain and discomfort in my lower rectum area for the past few weeks. Sometimes, I see blood after passing bowel movements. What could be the issue?",6
595,"Doctor, I've been experiencing skin irritation, redness, and itchiness whenever I come into contact with certain substances. I think it might be contact dermatitis. What tests do I need to take to confirm this?",13
596,"Hi doctor, I've been experiencing fatigue and dizziness recently. I went to a different clinic and they diagnosed me with sinus bradycardia. What do I need to do next? ",6
597,"Doctor, I am worried about my high blood pressure. What tests do I need to take to check on it?",7
598,"Doctor, I have been having lower abdominal pain and fever for a few days now. I also have painful urination and a vaginal discharge. I think I might have pelvic inflammatory disease.",12
599,"Doctor, I am experiencing symptoms such as jaundice, fatigue, and loss of appetite. I am worried that I may have liver disease. ",12
600,"Hi Doctor, I have been having constant trouble with my bowel movements for some time now. I've tried different remedies but nothing seems to work. ",3
601,"Doctor, I have been experiencing a lump on my neck and after the diagnosis, I found out that I have thyroid cancer. What medical tests do I need to take?",5
602,"Doctor, I've been feeling really sick lately. I have a fever, cough, and body aches.",8
603,"Doctor, I have been experiencing difficulties in coordinating my movements, and I seem to have a lot of trouble walking and maintaining my balance.",14
604,"Hi doctor, I've been experiencing involuntary movements in my face and sometimes my arms. It's starting to become embarrassing around my friends, so I wanted to see if there was anything I can do about it.",13
605,"Doctor, I have noticed a small bump on my skin that has been growing slowly for a while. It feels rough to the touch, and it's starting to bother me. Can you tell me what could be causing this?",13
606,"Doctor, I am experiencing sudden and intense pain in my shoulder and upper arm, and it feels weak too. ",11
607,"Doctor, I am experiencing abnormal vaginal bleeding and pelvic pain. I am concerned it might be cervical cancer.",5
608,"Doctor, I have been experiencing some symptoms like weight gain, frequent urination, and high blood pressure. My family doctor found a lump in my adrenal gland and suggested I consult an endocrinologist.",14
609,"Doctor, I have been experiencing a burning sensation in my chest and difficulty swallowing, and I think I might have esophagitis. What medical tests do I need to take?",8
610,"Doctor, I am suffering from gas gangrene, what medical tests do I need to undergo?",2
611,"Doctor, I have been experiencing discomfort and itching in my vaginal area. I think I may have a yeast infection.",4
612,"Doctor, I think I have Spina bifida, I've been experiencing back pain and numbness in my legs.",7
613,"Doctor, I'm feeling really sick after taking my medication. I'm experiencing nausea, vomiting, and dizziness. What could be wrong?",10
614,"Doctor, I've not been feeling well lately. I've been experiencing abdominal pain, loss of appetite, and nausea. I also consume a lot of alcoholic beverages. Can you tell me what's wrong with me?",9
615,"Doctor, I've been experiencing severe headaches and blurred vision lately. I went to see an ophthalmologist who referred me to you, and he mentioned that it might be malignant hypertension.",10
616,"Doctor, I have been experiencing severe abdominal pain and discomfort for the past few days. I also have vomiting, constipation and fever. I did some research and I think it might be diverticulitis.",12
617,"Hi doctor, I have been experiencing frequent headaches and blackouts. Recently, I have also noticed a weakness on one side of my body.",9
618,"Hi Doctor, I've been feeling really weak and dizzy lately, even though I'm drinking plenty of water. I think it might be because of the heat.",14
619,"Hi doctor, I have been experiencing symptoms of a psychotic disorder such as hallucinations and delusions.",6
620,"Hello, doctor. I think I have frostbite. My toes and fingers are numb and painful.",12
621,"Doctor, I've been having trouble getting erections lately. It seems like my penis has become smaller and I'm not sure why.",13
622,"Doctor, I have been smoking for quite some time now and I feel like I'm addicted. I want to quit but I'm finding it hard to do so. Can you help me with that?",11
623,"Doctor, I have been experiencing a lot of pain and swelling in my ankle. ",14
624,"Doctor, I have been experiencing hand tremors for quite some time now, it's getting worse day by day. ",7
625,"Doctor, I have an open wound on my ear and it's not healing. What should I do?",10
626,"Doctor, I think I have something stuck in my nose. It's been causing a lot of discomfort and I can feel it when I breathe.",11
627,"Hi Doctor, I am experiencing a lot of pain during my periods. I don't have any underlying condition that can explain it. Can you tell me what tests I need to undergo to get to the root of the problem?",11
628,"Doctor, I think my child might have Down syndrome. Can you please help me to diagnose it?",2
629,"Hi doctor, I have been experiencing infrequent menstruation and I am not sure what is causing it. ",2
630,"Doctor, I have been experiencing sharp pain in my chest and shortness of breath. I also feel like I'm suffocating.",11
631,"Doctor, I have been experiencing pain and swelling in my wrist and thumb for a few weeks now. It hurts when I try to grip or lift objects. What could be causing this?",7
632,"Doctor, my back is hurting me a lot and I cannot move in certain positions. I think I may have fractured my vertebra.",12
633,"Doctor, I'm worried that I might have HIV. I've been feeling unwell lately and I was wondering what kind of tests I should take.",14
634,"Doctor, I'm having pain and swelling in my salivary glands. I think I might have mumps.",11
635,"Hi Doctor, I have been experiencing a severe headache and some people around me noticed that my eyes looked different. I think there might be something wrong with me.",5
636,"Doctor, I am experiencing some discomfort and pain in my upper-right abdomen, and I am having trouble with digestion. I also have nausea and vomiting. Can you tell me what is wrong with me?",11
637,"Doctor, I have been experiencing a turning out of my eyelid and my eye feels very dry. I feel like there is something in my eye all the time.",15
638,"Hi doctor, I have a scar on my left arm and it's been bothering me. What tests do I need?",5
639,"Doctor, I have been experiencing symptoms after consuming milk or any dairy products. I feel nauseous, have stomach cramps, bloating, and diarrhea. What could be wrong?",14
640,"Hi Doctor, I have been having trouble hearing properly and I feel like there is pressure in my ears.",5
641,"Doctor, I have been having severe abdominal pain and I suspect it might be appendicitis. What should I do?",2
642,"Doctor, I have been experiencing rapid heartbeat, tremors, weight loss and difficulty sleeping. I did some research and I think I have Graves disease.",14
643,I am having trouble remembering certain things and I have been told I have dissociative disorder. What medical tests do I need to take?,7
644,"Doctor, I fell and got an open wound on my face. It's bleeding a lot and I think it needs stitches. What tests do I need to get done?",10
645,"Doctor, I think I dislocated a vertebra in my back. It's been really painful and I can barely move.",13
646,"Doctor, I have been having trouble retracting my foreskin. It's painful and causing inflammation. What should I do?",8
647,"Doctor, I've been experiencing severe nausea and vomiting during my pregnancy. It's causing me to lose weight and feel weak. What could be causing this?",19
648,"Hi doctor, I think I might be pregnant.",2
649,"Doctor, I have been feeling very tired and weak lately. My skin looks paler than usual and I seem to be short of breath even with light physical activities. I'm worried that I might have thalassemia.",14
650,"Doctor, I have been experiencing heavy bleeding during my pregnancy. My doctor told me that I have placenta previa. What tests do I need to undergo?",13
651,"Doctor, I am experiencing severe headache and loss of consciousness after a recent head injury.",15
652,"Doctor, I have been experiencing severe joint pain and swelling. It hurts to even move my hand. What could be wrong?",13
653,"Hi doctor, I think I may have athlete's foot. My foot is really itchy and there's some redness and peeling skin.",12
654,"Doctor, I have been experiencing shortness of breath and chest pain. My doctor believes that I have pleural effusion. What tests do I need to take to confirm this diagnosis?",10
655,"Doctor, I have been experiencing difficulty in focusing my vision and my eyes get tired easily.",15
656,"Doctor, I think I have a vulvar disorder. I have been experiencing burning and itching sensations in that area. ",15
657,"Doctor, I have been experiencing weakness and lack of energy lately. I'm worried I might have a vitamin deficiency.",10
658,"Hi doctor, I've been experiencing swelling and pain in my salivary gland. What do you think is wrong and what tests do I need?",2
659,"Doctor, I have noticed that my breasts are getting larger and I am feeling some tenderness in them. What could be the problem?",7
660,"Doctor, I've been experiencing pain and burning during urination. I also feel like I need to go to the bathroom more often. What could be the problem?",6
661,"Doctor, I have been experiencing a persistent cough, fever, and fatigue for the past few weeks. I also have chest pain and difficulty breathing. I'm worried that I might have histoplasmosis.",12
662,"Hi doctor, I have been experiencing rashes and blisters on my skin for the past few days. They keep spreading and getting worse. I am feeling feverish and my body aches as well. ",7
663,"Hi Doctor, I've been experiencing pain and discomfort in my back for quite some time now. I finally decided to come see you and I was wondering if you could diagnose what's wrong?",9
664,"Doctor, I have been having some trouble with my foot lately. I have a bump on the side of my big toe and it hurts when I walk. ",9
665,"Doctor, I have been feeling some irregular heartbeats lately. I think I might have an arrhythmia.",2
666,"Hi doctor, I've been experiencing a lot of bone pain and my bones feel very weak. I've also noticed that my joints are very stiff and my bones have been breaking easily. What could be the problem?",15
667,"Hello doctor, I'm experiencing severe pain in my face. It's a sudden and intense pain that lasts for about two minutes and happens frequently throughout the day.",15
668,"Doctor, I have been experiencing back pain and stiffness for quite some time now. It is quite severe and I have trouble getting out of bed in the morning. My joints also ache a lot. Can you tell me what could be the problem?",7
669,"Hello doctor, I have been experiencing some weakness in my limbs and numbness in my fingers. Also, there is a considerable loss of coordination in my movement. ",5
670,"Hello doctor, I have this bump on my skin that's been bothering me for a while now. It's painful and I noticed that it's been growing in size. ",19
671,"Doctor, I have been feeling very weak and dizzy lately. I think it has something to do with the antipsychotic medication I have been taking.",10
672,"Doctor, I have been experiencing painful sores in my nose and mouth. My throat is also sore and it's difficult to swallow sometimes. What do you think is wrong?",7
673,"Doctor, I have been feeling very anxious and stressed lately. I think I might be suffering from neurosis.",12
674,"Doctor, I recently noticed some changes in my urinary habits and I am experiencing difficulty in passing urine with blood. I am worried I might have prostate cancer. ",17
675,"Doctor, I have been experiencing headaches and nausea lately. I also feel like my vision has become blurry. I am worried that I might have cerebral edema.",13
676,"Doctor, I think I have dislocated my finger.",25
677,"Doctor, I think I am suffering from birth trauma. I have been experiencing a lot of pain in my arms and legs, and I feel like I am unable to move them properly. ",11
678,"Doctor, I have been experiencing severe abdominal pain and digestive problems for a while now. After some tests, I was diagnosed with chronic pancreatitis. What medical tests do I need to undergo?",6
679,"Doctor, I have this lump on my arm that is quite painful. It feels like a big bruise, but it has been there for a few days now. What do you think it could be?",11
680,"Doctor, I've been experiencing flushing, diarrhea, and abdominal pain. My friend told me it might be related to Carcinoid syndrome. What do you suggest I do?",10
681,"Doctor, I fell off my bike and hit my head pretty hard. I have an open wound on my head that won't stop bleeding. Can you help me?",13
682,"Doctor, I have these brownish growths on my skin that are becoming bigger and more frequent. They don't hurt, but they look unappealing. What could be wrong with me?",3
683,"Hi doctor, I burned my hand pretty badly while cooking. What do I need to do?",7
684,"Doctor, I had a spontaneous abortion last week and I am very worried about my health. Can you please suggest some medical tests that I can take to ensure everything is fine?",7
685,"Doctor, I think I have genital herpes. I am experiencing painful blisters around my genitals.",12
686,"Doctor, I have been feeling really stressed out and overwhelmed lately. I've been having trouble sleeping and I can't seem to shake this feeling of sadness. I think I might be dealing with some sort of adjustment reaction.",14
687,"Doctor, I have been experiencing severe pain in my upper right abdomen, and I am worried it might be a gallstone. What do you suggest I do?",5
688,"Doctor, I have been experiencing problems with my vision and my limbs feel weak at times. I also have trouble maintaining my balance while walking.",9
689,I have been experiencing difficulty swallowing and regurgitation of food for a while now. I am concerned it may be something serious.,13
690,"Doctor, I fell down and hurt myself badly. I'm feeling a lot of pain in my lower back and pelvic area.",4
691,"Doctor, I have been feeling short of breath lately, and I've been having chest pains. I used to work in a coal mine, and I'm worried that I might have pneumoconiosis.",9
692,"Hi Doctor, I've been experiencing some chest pain and shortness of breath lately, and I'm worried about my high cholesterol levels. I think I might have hyperlipidemia.",14
693,"Doctor, I have been experiencing abdominal pain, diarrhea, and blood in my stool. I am also constantly tired and fatigued.",10
694,"Doctor, recently I've been experiencing some discomfort and pain in my genital area. I think I might have an infection. ",2
695,"Hi doctor, I have been experiencing some discomfort and pain during sex. I think I might have HPV. ",5
696,"Doctor, I've been having chest pains and shortness of breath, especially when I exert myself. I think I might have angina.",9
697,"Doctor, I fell down the stairs last night and hurt my back. I'm having trouble moving my legs and I can't feel anything below my waist.",5
698,"Doctor, I have been experiencing difficulty breathing through my nose and have been suffering from frequent sinus infections. My ENT doctor believes that I may have a nasal polyp. What medical tests do I need to get done?",10
699,"Doctor, I have been having severe itching and scratching on my skin lately. It has caused a lot of irritation and has become very uncomfortable. I have been diagnosed with Lichen simplex.",20
700,"Doctor, I have been experiencing a constant irritation in my eyes and I think I might have trichiasis.",10
701,"Doctor, I've been experiencing itching and skin rashes all over my body. I also have trouble breathing and my vision seems to have gotten worse with time. What could be wrong with me?",16
702,"Doctor, I have been experiencing some symptoms lately and I'm worried it might be something serious. I have been having persistent abdominal pain, changes in my bowel movements, and blood in my stool.",7
703,"Doctor, I've been noticing patches on my skin getting darker and lighter in color. I think I may have a skin pigmentation disorder. What should I do?",3
704,"Doctor, I have been experiencing unusual and exaggerated symptoms lately. It feels like my body is not functioning properly and I feel dizzy all the time. ",12
705,"Doctor, I'm experiencing pain and swelling in my groin area, and the lymph nodes around it are also swollen. I'm also having some discharge and bleeding during bowel movements.",12
706,I have been experiencing a milky discharge from my breasts without being pregnant or breastfeeding. What could be the problem?,2
707,"Hi, Doctor. I have been experiencing fatigue, shortness of breath, and abnormal heart rhythms. I also get easily tired and have pale skin. I suspect I might have G6PD enzyme deficiency. What medical tests do I need?",16
708,"Doctor, I have been experiencing pain and numbness in my arm and hand, and I believe it might be due to nerve impingement near my shoulder. What medical tests do I need to undergo?",11
709,"Doctor, I think I might have toxoplasmosis. I've been feeling really depressed lately and my eyesight seems to be getting worse. ",17
710,"Doctor, I have been experiencing a lump in my breast. I'm really worried about it.",17
711,"Hello Doctor, I have this open wound on my hand and it's been bleeding for a while now. What can I do about it?",15
712,"Doctor, I think I might have missed abortion, My last ultrasound showed no fetal heartbeat.",9
713,"Doctor, I was diagnosed with diabetic ketoacidosis. What tests do I need to take?<EOS>",5
714,"Doctor, I have been experiencing some discomfort and sores in my genital area. I think it might be Granuloma inguinale, can you help me with this? ",12
715,"Doctor, I have been feeling feverish and weak for the past few days. I also have nosebleeds and my urine seems to be dark. I think I might have Hemorrhagic fever.",16
716,"Hi Doctor, I've been experiencing repetitive thoughts and irrational urges that I can't seem to control. It's causing me a lot of distress and is affecting my daily life.",12
717,"Doctor, I hurt my ankle yesterday while playing football. It's swollen and painful. What should I do? ",4
718,"Doctor, I have been feeling very weak and fatigued lately. I also have been experiencing confusion and headaches. Can you tell me what is wrong with me?",14
719,"Doctor, I have been experiencing trouble swallowing food and my chest feels tight.",11
720,"Doctor, I fell off a ladder yesterday and hurt my ankle. It's really swollen and painful, and I can hardly put any weight on it. ",5
721,"Doctor, I have noticed a lump on my arm that has been growing and causing pain. I am really concerned about it.",10
722,"Doctor, I've been experiencing some pain in my bones lately. I'm worried that I might have a bone disorder. ",2
723,"Doctor, I have been experiencing sudden seizures and my family thinks that it could be epilepsy. What tests do I need to take?",8
724,"Hi doctor, I have been struggling with a personality disorder and I'm not sure what to do about it.",32
725,"Doctor, I've been experiencing sharp pain and a rash on my skin. My friend told me it might be shingles. ",8
727,"Doctor, I have been experiencing sore throat and difficulty swallowing. I think I might have strep throat.",5
728,"Doctor, I have been experiencing difficulty in controlling my movements lately. It seems like my balance is off and I have trouble walking straight.",12
729,"Doctor, I think I have Osteomyelitis. My foot has been hurting for weeks and now I can't even put any pressure on it.",4
730,"Doctor, I have been experiencing dry eyes and dry mouth lately. I also feel fatigue and joint pain. I did some research and I think I might have Sjogren syndrome.",18
731,"Doctor, I have been experiencing a lot of pain and stiffness in my shoulder, especially when I try to move it. I can't lift anything heavy or even put on my shirt easily. What could be wrong?",11
732,"Hi doctor, I have been having abdominal pain, fatigue, and jaundice. I think I might have viral hepatitis. What medical tests do I need to confirm this?",16
733,"Hi doctor, I have been experiencing difficulty swallowing and snoring while sleeping. I also have noticed enlarged tonsils at the back of my throat. ",15
734,"Doctor, I have been experiencing frequent stomach pain, nausea and vomiting. I think I might have gastritis.",11
735,"Doctor, I'm having some concerns about a mole on my back. It has grown in size and changed in shape over the past few months.",16
736,"Doctor, I have been experiencing joint pain and swelling, along with a rash and fever. My last strep throat infection was not treated properly and I fear I might have developed Rheumatic fever.",20
737,"Doctor, I have been experiencing recurrent mouth ulcers that are really painful. I looked it up on the internet and I think I may have aphthous ulcers. What do you think?",16
738,"Doctor, I've been having a lot of trouble swallowing, and my throat is really sore. I think I might have tonsillitis.",4
739,"Doctor, I have been having some symptoms that have been concerning me, and I am worried that I might have intestinal cancer. What tests do I need to take to diagnose it?",2
740,"Hi doctor, I think I have Rocky Mountain spotted fever. ",13
741,"Hi Doctor, I have been feeling some discomfort and pain in my stomach lately. I also feel nauseous and have lost my appetite. I am worried if it could be stomach cancer. ",12
742,"Doctor, I have been experiencing developmental disability and I am unsure of what to do next.",4
743,"Hi doctor, I have been feeling very stressed and anxious lately, and I can't seem to shake it off. I've been having trouble sleeping and concentrating, and it's affecting my daily life.",19
744,"Doctor, I think I have been experiencing delirium lately. I have been having trouble focusing and keeping track of things. Also, I feel a sense of confusion most of the time.",13
745,"Hi, doctor. I have this hard, thickened patch of skin on my foot that won't go away. It's been bothering me a lot lately. What should I do?",4
746,"Doctor, I have been experiencing weakness in my legs and arms, and it's getting worse day by day. My friend told me it could be Guillain Barre syndrome. ",16
747,"Doctor, I'm experiencing lower back pain. It's been bothering me for a few weeks now and I can barely sit or stand for long periods of time. ",12
748,"Hey doc, I've been having trouble breathing through my nose for a while now. Sometimes, it's even difficult to sleep at night. It feels like my nose is constantly congested.",11
749,"Doctor, I think I have a Hemangioma on my skin, what should I do?",9
750,"Doctor, I've been told that my baby has been diagnosed with Patau syndrome. What tests do I need to take?",13
751,"Doctor, I am having constant pain and cramping in my legs while walking. Sometimes, it even disturbs my sleep. ",9
752,"Hi Doctor, I've been having a lot of chronic back pain lately, and it's getting worse day by day. I'm not sure what's the reason for it, but it's making it really hard for me to move around and do daily activities like before.",10
753,"Doctor, I have been having trouble with my heart lately. I feel short of breath and tired most of the time. What should I do?",7
754,"Doctor, I have been experiencing redness and itching in my eyes. I think I might have conjunctivitis.",5
755,"Doctor, I have severe pain in my lower back and right leg. I also experience numbness and tingling sensation in my leg. I suspect I have a herniated disk. What tests do I need to confirm my diagnosis?",14
756,"Doctor, I have been feeling weak and experiencing muscle pain lately. I went to the hospital and they told me that I might have Rhabdomyolysis.",13
757,"Hello doctor, I think I might have a breast infection, it's painful and swollen.",11
759,"Doctor, I've been feeling shortness of breath and chest pain lately. It sometimes feels like there's a heavy weight on my chest.",11
760,"Hi Doctor, I've been having some behavioral issues lately. I get into a lot of fights and feel angry all the time. ",6
761,"Hi doctor, I think I'm suffering from air embolism.",32
762,"Doctor, I recently had a mastectomy. What medical tests do I need now?",2
763,"Doctor, I have been experiencing pain and swelling in my scrotum. I also have a fever and difficulty urinating. I think I may have epididymitis.",24
764,"I think my water broke early, and I'm only in my 34th week of pregnancy.",11
765,"Hi doctor, I think I have molluscum contagiosum. The bumps on my skin are starting to spread and some of them have a white core.",7
766,"Hi Doc, I've been experiencing some severe pain and swelling in my leg. I also have some open wounds which are not healing and are emitting a foul odor. Can you please help me?",12
767,"Doctor, I am experiencing abnormal vaginal discharge that is odorless and thick. It has been happening for a few weeks now. Do you have any idea what could be causing this?",13
768,"Doctor, I have been experiencing difficulty in passing urine lately. It feels like something is blocking my bladder. What should I do?",3
769,"Hello doctor, I'm concerned about some moles on my skin that have changed color and shape over time. I'm worried it might be melanoma.",16
770,"Doctor, I have been facing some discomfort in my cervix. Can you please suggest some medical tests that I need to take?",5
771,"Doctor, I have been experiencing hoarseness in my voice for a few days now. I think I might have laryngitis. What tests do I need to take?",15
772,"Hi doctor, I've been experiencing these itchy blisters on my hands and feet for a while now, and was wondering what's wrong with me?",11
773,"Doctor, I think I may have accidentally ingested too many opioids. I'm feeling very nauseous and dizzy. ",9
774,"Hi doctor, my baby's diaper area is red and irritated. I think it might be a diaper rash. What tests do we need?",4
775,"Doctor, I have been experiencing a skin rash lately that's quite itchy and red. It's mainly on my arms and legs. Could you please tell me what medical tests I need to take?",14
776,"Doctor, I have been experiencing a lot of abdominal pain lately, and it seems to get worse after eating. I also feel nauseous and have been vomiting. ",10
777,"Doctor, I have been experiencing a sharp pain in my groin area and I noticed a bulge that comes and goes. ",3
778,"Hi doctor, I have been experiencing a rash on my skin which is becoming increasingly itchy and red. I am afraid I might have Eczema. ",14
779,"Hi Doctor, I have been experiencing trouble with social interaction and communication skills. I also have highly restricted interests and repetitive behaviors. I suspect I might have Asperger Syndrome.",14
780,"Hi doctor, I think I have a problem with my toenail. It's red and swollen around the edge, and there's some discharge coming out of it.",17
781,"Doctor, I have an open wound on my jaw, and it's not healing properly. What medical tests do I need to take?",14
782,"Hi Doctor, I have been feeling fatigued, weak and have been catching a lot of infections recently. I went to a previous doctor who said that I might have a white blood cell disease. What tests do I need to confirm this?",14
783,"Hi Doctor, I think I might have Kaposi sarcoma. ",2
784,"Doctor, I have been having severe back pain and I heard it may be due to spondylolisthesis. Can you help me with a diagnosis?",14
785,"Doctor, I have been experiencing severe headaches for the past few weeks and my vision has become blurry. I also feel a constant pressure in my head.",8
786,"Doctor, my eyes are itchy, red and swollen. I think I have conjunctivitis due to a virus. ",8
787,"Doctor, I have an open wound in my nose, and it's causing a lot of discomfort. What medical tests do I need?",13
788,I have been experiencing sudden panic attacks and anxiety quite frequently.,2
789,"Hi Doctor, I have been experiencing persistent hoarseness and noticed a lump in my throat. My ENT diagnosed me with a vocal cord polyp. What medication do I need to take?",3
790,"Doctor, I have been diagnosed with Turner syndrome. What medications do I need to take?",7
791,"Doctor, I have been diagnosed with cryptorchidism. What medications do I need to take?",4
792,"Doctor, I think I might have poisoning due to ethylene glycol. I am feeling dizzy, tired and my breath doesn't feel right.",16
793,I have been experiencing vaginal dryness and itching lately. It's making sex very uncomfortable.,5
794,"Doctor, I think I fractured my hand during a recent game of basketball. My hand is swollen and I cannot move it properly. What medication do I need to take?",15
795,"Doctor, I have a cellulitis or abscess in my mouth. What medications do I need?",2
796,"Hello doctor, I have been experiencing an eye alignment disorder where my eyes are not properly aligned. What medications do I need to take to treat it?",5
797,"Doctor, I had a lumbar puncture a couple of days ago and I'm experiencing intense headaches. It's making it really difficult for me to focus and work.",2
798,"Doctor, I have been experiencing vomiting, nausea, and abdominal pain. I recently found out that I have pyloric stenosis. What medications should I take for it?",13
799,"Hi doctor, I have been experiencing some issues with my salivary gland. Can you help me with it?",31
800,"Hi doctor, I have been experiencing pain in my hips and back. Sometimes it's unbearable, and I am finding it difficult to walk or sit for long periods of time.",17
802,"Doctor, I have been experiencing some issues lately, and I think I might have a metabolic disorder. Can you please provide me with some medications that can help me with this?",7
803,"Hi doctor, I think I may have vaginitis. ",32
804,"Hi, doctor. I have been experiencing irregular heartbeats, dizziness, and fatigue lately. My primary care physician suggested that I might have sick sinus syndrome, and I need some medication for it.",10
805,"Hi doctor, I have been having issues with my vision lately. My eye feels like there is a lot of pressure in it and my peripheral vision seems to be getting worse.",8
806,"Doctor, I think I have an eating disorder. I have been experiencing extreme weight loss, and I can't seem to control my eating habits. ",8
807,"Doctor, I had a transient ischemic attack a few weeks ago and I'm afraid it might happen again. What can I do?",3
808,"Doctor, I have been experiencing sharp pains in my lower back and a burning sensation while urinating. I think I might have pyelonephritis, what type of medication do I need?",13
809,"Hi Doctor, I'm experiencing a lot of pain and limited range of motion in my shoulder.",3
810,"Doctor, I have been experiencing chronic pain for some time now. It's unbearable and I can barely get on with my day-to-day activities.",8
811,"Doctor, I am pregnant and I have been experiencing a lot of problems lately. Can you suggest any medications that could help me?",8
812,"Doctor, I am suffering from liver cancer. What medications do I need to take?",6
813,"Doctor, I have a condition called atelectasis. What is the required medication for it?",13
814,"Hi doctor, I injured my hand and it's been really painful lately. What medications do you recommend?",13
815,"Doctor, I've been experiencing pain in my upper-right abdomen and I was diagnosed with Choledocholithiasis. What medications do I need to take for it?",5
816,"Doc, I suffered an injury to my hip and I have been experiencing a lot of pain. What medications do I need to take?",13
817,"Doctor, I have been diagnosed with Cirrhosis. What medications do I need to take for it?",8
818,"Doctor, I have been experiencing chest pain and I was diagnosed with Thoracic aortic aneurysm. What medication do you recommend?",6
819,"Doctor, I have been diagnosed with congenital rubella. What medications do I need to take?",6
820,"Hi doctor, I have been experiencing vision problems and I was diagnosed with diabetic retinopathy. What medications do I need to take?",7
821,"Hi doctor, I have been experiencing chronic pain and fatigue all over my body. I have been diagnosed with fibromyalgia. What medications would you prescribe for this condition?",12
822,"Doctor, I have been experiencing severe abdominal pain for a while now, and I was recently diagnosed with Ischemia of the Bowel. Can you please prescribe some medication for it?",15
823,"Hi doctor, I was diagnosed with fetal alcohol syndrome a few years ago and it's been affecting my daily life. Is there any medication that can help me manage it?",3
824,"Hey, doctor. I am having extreme abdominal pain, fever, and nausea. I think I might have peritonitis.",7
825,"Hello doctor, I have been diagnosed with an injury to the abdomen. Can you please suggest some medications for me? ",12
826,"Hi doctor, I was diagnosed with Acute Pancreatitis. What medications are required for it?",13
827,"Doctor, I've been experiencing difficulty in breathing and wheezing lately. I feel like my chest is tight and it's hard to take a deep breath. ",4
828,"Doctor, I think I may have a foreign object stuck in my vagina, and I'm experiencing discomfort.",9
829,I'm having trouble sleeping because of these really uncomfortable sensations in my legs that only stop when I move them. My doctor said it might be restless leg syndrome. Is there any medication that can help with this?,6
830,"Doctor, I have been having trouble breathing lately and I feel like I can't get enough air in. It's been happening more frequently and it's making me really anxious.",7
831,"Hello doctor, I was recently diagnosed with cysticercosis. Can you please tell me what medications I need to take?",13
832,"Doctor, I recently had an induced abortion and I'm experiencing some discomfort. Can you suggest some medications to help me with this?",13
833,"Hi Doctor, my baby is suffering from teething syndrome. What medication should I give him?",6
834,"Hi doctor, I've been having severe diarrhea and stomach cramps for the past two days. ",10
835,"I think I have acute sinusitis. My symptoms include congestion, headache, and pressure in my sinuses.",7
836,"Doctor, I have been diagnosed with Von Hippel-Lindau disease. What medications do I need to take?",7
837,"Doctor, I've been struggling with substance-related mental disorder. What medication should I take?",13
838,"Doctor, I have been feeling really down and hopeless since I had my baby. I think I might have postpartum depression.",5
839,"Doctor, I have been experiencing chest pain and discomfort lately, and my doctor referred me to you. He suspected that I might have coronary atherosclerosis. What medications do I need to take?",12
840,"Doctor, I have been experiencing severe back pain and stiffness. Sometimes the pain even radiates to my neck and shoulders. I also find it difficult to move my back freely.",9
841,"Doctor, I have been diagnosed with Pituitary adenoma. What medications do I need to take to treat it?",6
842,"Hi doctor, I have been experiencing heavy menstrual bleeding and pelvic pain. I went to see my gynecologist and they diagnosed me with uterine fibroids. What medication do I need to take? ",4
843,"Doctor, I have been experiencing abnormal vaginal bleeding.",29
844,"Hi, doctor. I have a chalazion on my eyelid. What medication do I need to take?",16
845,"Hi doctor, I have been experiencing a lot of pain in my lower abdomen and it seems to be getting worse. I think something might be wrong with my ovaries.",6
846,"Doctor, I have been experiencing blurry vision and I was told I have retinopathy due to high blood pressure. What medications do I need to take? ",12
847,"Doctor, I've been experiencing some itching and burning sensation in my vaginal area, and there is some discharge as well. ",6
848,"Doctor, I have been experiencing severe pain behind my ear and my earlobe looks swollen. I also have a fever and a headache. ",11
849,I have been diagnosed with lung contusion. What medications do I need to take to treat it?,30
