Question_ID,Question,GreedyDist,GreedyDist_distance,GreedyDist_subgraph,GreedyDist_subgraph_distance
1719,"Doctor, I have been experiencing chest tightness, fatigue, back pain, sharp abdominal pain, and dizziness lately. What could be the reason?",180,3,180,3
1720," Doctor, I've been coughing up sputum and feeling dizzy lately. Also, my skin and eyes have turned yellow. ",66,2,66,2
1721,"Doctor, I have been experiencing leg cramps, jaundice, chest tightness, coughing up sputum and flushing. What could be the reason for all these symptoms?",144,2,144,2
1722,"Doctor, I have been experiencing seizures, facial pain, hostile behavior, and sometimes delusions or hallucinations, what could be the problem? ",199,2,199,2
1723,"Doctor, I have been experiencing seizures and my infant seems very irritable. Also, I am having some disturbance of memories. Can you please help me with this?",183,3,183,3
1724,"Doctor, I have been experiencing delusions and hostile behavior lately. ",145,3,145,3
1725,"Doctor, I have been experiencing abnormal movement of my eyelid, dizziness and my baby has been very irritable lately.",70,2,70,2
1726,"Doctor, I have been experiencing severe headaches, seizures and also some depressive and psychotic symptoms lately. What could be wrong with me?",92,2,92,2
1727,"Doctor, I have been experiencing a lot of fatigue lately, and my joints feel stiff and tight. I also have been having shoulder cramps and spasms. What could be the problem?",109,2,109,2
1728,"Doctor, I have been experiencing shoulder cramps or spasms and ankle pain lately, what could be the reason for this?",148,3,148,3
1729,"Doctor, I have been experiencing excessive urination at night, and I'm also getting angrier than usual lately. What could be causing this?",166,3,166,3
1730,"Doctor, I have been experiencing excessive urination at night, shoulder cramps or spasms, and excessive anger, do you know what could be causing this?",168,3,168,3
1731,"Doctor, I have been experiencing excessive urination at night along with fatigue, joint stiffness or tightness, pain or soreness of breast, and a knee lump or mass. Can you diagnose what could be wrong with me?",56,2,56,2
1732,"Doctor, I have been experiencing a foreign body sensation in my eye. It feels like there is something in it, but I can't seem to find anything. What could be causing this? ",65,3,65,3
1733,"Doctor, I have been experiencing some issues with my eyes lately. My vision seems to be diminishing, and I also feel pain in my eye sometimes. There is also abnormal movement of my eyelid, and I see spots or clouds in my vision. My eye also feels itchy. What could be the problem?",83,2,83,2
1734,"Doctor, I have been experiencing double vision and bleeding from my eye, along with abnormal movement of my eyelid and spots or clouds in my vision. Do you know what could be causing these symptoms?",68,2,68,2
1735,"Doctor, I have been having some trouble with my eyes lately. I keep seeing spots and clouds in my vision, and my eyes have been really itchy. On top of that, my vision seems to have diminished a bit. What's going on?",42,2,42,2
1736,"Doctor, I have noticed bleeding from my eye, spots or clouds in my vision, and my eye has been red. What do you think is wrong with me?",133,2,133,2
1737,"Doctor, I have been experiencing some sharp chest pain, what could be causing it?",30,5,30,5
1738,"Doctor, I've been experiencing muscle pain all over my body. What could be the cause of this?",74,2,74,2
1739,"Doctor, I am experiencing arm pain and fatigue, what could be the problem?",156,3,156,3
1740,"Doctor, I have been experiencing shoulder pain, leg pain, neck pain, low back pain, and headaches. What could be the problem?",61,2,61,2
1741,"Doctor, I have been having melena, rectal bleeding, burning abdominal pain and diarrhea. What could be the reason for this?",26,1,26,1
1742,"Doctor, I am experiencing chills, lower abdominal pain, vomiting, retention of urine, and sharp abdominal pain. What could be the problem?",95,2,95,2
1743,"Doctor, I have been experiencing retention of urine, rectal bleeding, and lower abdominal pain. What could be wrong with me?",180,2,180,2
1744,"Doctor, I have been experiencing some strange symptoms lately, including retention of urine, chills, nausea, and rectal bleeding. Can you help me figure out what's going on?",196,2,196,2
1745,"Doctor, I have been experiencing rectal bleeding, diarrhea, lower abdominal pain, and constipation. Can you tell me what might be wrong?",20,1,20,1
1746,"Doctor, I have been experiencing emotional symptoms, smoking problems, depressive or psychotic symptoms, seizures, and hostile behavior. What could be causing all these symptoms? ",71,2,71,2
1747,"Doctor, I have been feeling very depressed and emotionally unstable lately, and I have also noticed weakness in my wrists. Additionally, I have had some angry outbursts. What could be wrong with me?",43,2,43,2
1748,"Doctor, I've been having some temper problems lately. I seem to get angry very easily, and it's affecting my personal and professional life.",44,2,44,2
1749,"Doctor, I've been experiencing some eye redness, wrist weakness, and eye strain. What could be causing this?",134,2,134,2
1750,"Doctor, I've been having terrible eye strain lately and feeling very depressed. ",96,2,96,2
1751,"Doctor, I've been experiencing a high fever and sharp abdominal pain. Do you have any idea what could be causing this?",114,5,114,5
1752,"Doctor, I have been experiencing some symptoms lately.",195,3,195,3
1753,"Doctor, I have been experiencing sharp abdominal pain and nausea for the past few days. ",14,5,14,5
1754,"Doctor, I have been experiencing intermenstrual bleeding, back pain, vomiting, groin mass and nausea. What could be the problem?",105,2,105,2
1755,"Hello doctor, I have a painful mass in my groin area.",30,2,30,2
1756,"Doctor, I have been experiencing upper abdominal pain and sharp chest pain. I am also pregnant and I feel pain sometimes during my pregnancy. ",85,5,85,5
1757,"Doctor, I have a sharp abdominal pain, blood in my urine, and sharp chest pain. What could be the problem?",109,5,109,5
1758,"Doctor, I have been feeling a lot of pain in my upper and lower abdomen for the past few days. Can you tell me what might be causing it?",71,5,71,5
1759,"Doctor, I have been having sharp chest pain and lower abdominal pain. ",71,5,71,5
1760,"Doctor, I have been experiencing upper abdominal pain. What could be the cause of it?",192,3,192,3
1761,"Doctor, I've been experiencing sharp chest pain along with back pain and upper abdominal pain. I also have a history of abusing alcohol. Do you have any idea what could be causing these symptoms?",184,3,184,3
1762,"Doctor, I have been experiencing sharp abdominal pain and coughing up blood lately. What could be the problem?",83,2,83,2
1763,"Doctor, I have been experiencing sharp abdominal pain and vomiting for the past few days. I also have a habit of abusing alcohol.",197,3,197,3
1764,"Doctor, I've been experiencing Hemoptysis, Sharp abdominal pain, Side pain, Diarrhea, and Burning abdominal pain. What could be the reason for all these symptoms?",83,2,83,2
1765,"Doctor, I've been experiencing hemoptysis, sharp abdominal pain, vomiting, burning abdominal pain, and lower body pain. What could be wrong with me? ",99,2,99,2
1766,"Hello doctor, I'm experiencing hand or finger swelling, skin swelling, leg pain, leg swelling, and foot or toe pain. What could be the problem?",126,2,126,2
1767,"Doctor, I have been experiencing some abnormal appearing skin, lymphedema, foot or toe pain, ache all over, and leg pain. What could it be?",68,2,68,2
1768,"Doctor, I have noticed an abnormal appearing skin on my leg, and I ache all over. I also have foot and toe pain, and my leg is swelling. What could be the issue?",199,3,199,3
1769,"Doctor, I have been experiencing a lot of pain in one of my legs, and there is some swelling in the skin as well. ",159,5,159,5
1770,"Hi doctor, I've been having leg cramps and spasms, as well as pain in my leg, foot, and toes. I've also noticed swelling in my arm and hand. What could be causing these symptoms?",21,1,20,1
1771,"Doctor, I've been having a running nose and nasal congestion for the past few days, and now I'm also experiencing sharp chest pain and difficulty breathing. I'm also having an allergic reaction to something. What do you think could be wrong with me?",99,2,99,2
1772,"Doctor, I've been feeling a tightness in my chest lately, and it's been bothering me quite a lot. What could it be?",112,3,112,3
1773,"Doctor, I have been experiencing sharp chest pain lately. What could be the issue?",30,5,30,5
1774,"Doctor, I am experiencing shortness of breath, coughing up sputum, and I have fever. Do you know what could be causing this?",63,2,63,2
1775,"Doctor, I have been experiencing coryza and sharp chest pain recently. What could be the problem?",149,5,149,5
1776,"Doctor, I have noticed pus in my urine, a strange skin lesion and weakness in my lower back.",62,2,62,2
1777,"Doctor, I've been having some weakness in my back. It's been bothering me a lot lately.",102,2,102,2
1778,"Doctor, I think there's something wrong with my vagina. I've been feeling very emotional lately, and my ear seems to have changed its shape. Additionally, there's some muscle swelling in the area.",127,2,127,2
1779,"Doctor, I have painful urination, abnormal size and shape of my ear, skin lesion, pelvic pain and emotional symptoms. What could be wrong with me?",20,1,20,1
1780,"Hi Doctor, can you tell me what's wrong with me? I'm experiencing pelvic pain and I think there's pus in my urine.",120,2,120,2
1781,"Doctor, I have been experiencing some strange symptoms lately. I have a constant headache, feel sleepy all the time, and my legs have these abnormal involuntary movements. Sometimes I even have difficulty breathing. What do you think is wrong with me?",22,1,22,1
1782,"Doctor, I've been having trouble sleeping lately. I am experiencing insomnia, headache, and sleepiness during the day. ",18,1,18,1
1783,"Hi doctor, I have been experiencing leg pain, difficulty breathing, and insomnia for a few weeks now. What do you think is wrong with me?",39,2,39,2
1784,"Doctor, I have been experiencing back pain for the past week. ",23,5,23,5
1785,"Doctor, I have been experiencing some strange symptoms lately. I have been having headaches, feeling very tired, experiencing back pain, and having trouble breathing. Additionally, my legs have been moving involuntarily.",189,3,189,3
1786,"Doctor, I have been having this persistent cough for a while now, and I am getting concerned. Can you tell me what's going on?",116,5,116,5
1787,"Doctor, I have been experiencing a cough, ache all over my body, elbow cramps or spasms, and sometimes a sharp pain in my chest. What could be the reason for these symptoms?",177,2,177,2
1788,"Doctor, I have been experiencing some symptoms recently. I feel cross-eyed, have a cough, my growth seems excessive, and I've been having back pain. What could be causing all of this?",180,2,180,2
1789,"Doctor, I have been experiencing elbow cramps and weakness, along with low back weakness and shortness of breath. Also, I have noticed excessive growth in my body. What could be the problem?",77,2,77,2
1790,"Doctor, I am feeling hot and cold, experiencing shortness of breath, having elbow cramps or spasms, and I am underweight. I have also noticed that I am experiencing excessive growth.",104,2,104,2
1791,"Doctor, I have been experiencing a constant headache along with some abnormal involuntary movements, weakness in my elbow and an excessive amount of growth. What do you think is the problem? ",69,2,69,2
1792,"Hi doctor, I've been feeling hot and cold lately along with some elbow cramps or spasms. I also feel like vomiting sometimes and have had seizures in the past. What could be the reason for these symptoms? ",180,2,180,2
1793,"Doctor, I have been experiencing vomiting, wrist weakness and seizures. What could be the problem?",56,2,56,2
1794,"Doctor, I have been experiencing cramps and spasms as well as lower abdominal pain.",114,2,114,2
1795,"Doctor, I have been experiencing cramps and spasms, absence of menstruation, problems during pregnancy, and intermenstrual bleeding. Can you tell me what is wrong with me? ",130,2,130,2
1796,"Doctor, I have been experiencing the absence of menstruation for a while now, and when it does come, there are blood clots. I also have this unusual vaginal discharge and I had some problems during my pregnancy before it was terminated through induced abortion. What could be wrong with me?",117,2,117,2
1797,"Doctor, I have been experiencing sharp abdominal pain and had some problems during my pregnancy.",155,5,155,5
1798,"Doctor, I have been experiencing blood clots during my menstrual periods, intermenstrual bleeding, cramps and spasms, sharp abdominal pain, and spotting or bleeding during pregnancy. What could be the problem?",134,2,134,2
1799,"Doctor, my baby has been coughing a lot lately and has become very irritable. He also seems to have a decreased appetite. What could be wrong with him?",90,2,90,2
1800,"Doctor, my infant has been having diarrhea, redness in their ear, decreased appetite, and has been very irritable lately. What could be wrong?",158,3,158,3
1801,"Hi Doctor, I have been experiencing pulling at my ears and fever. What could it be?",188,5,188,5
1802,"Doctor, my baby has been very irritable lately. He also has a redness in his ear and a fever. He seems to be having temper problems too. What could be wrong with him?",53,2,53,2
1803,"Doctor, I have noticed that my baby's appetite has decreased recently.",186,5,186,5
1804,"Doctor, I've been having a headache and sharp abdominal pain. What could be the problem?",38,5,38,5
1805,"Doctor, I have been experiencing diarrhea and a decreased appetite. What could be the cause?",186,5,186,5
1806,"Doctor, I have been experiencing vomiting, burning abdominal pain and sharp abdominal pain, what could be the problem?",71,5,71,5
1807,"Doctor, I have been experiencing a lot of fluid retention lately, is something wrong with me?",118,2,118,2
1808,"Doctor, I've been experiencing some burning abdominal pain, vomiting, sharp abdominal pain, headache, and fever. What could be wrong with me?",114,5,114,5
1809,"Doctor, I have been experiencing ear pain for a few days now. What could be the reason behind this?",188,5,188,5
1810,"Hi doctor, I have a lot of trouble breathing through my nose and my head hurts constantly. What could be wrong with me?",181,3,181,3
1811,"Doctor, I have been having a terrible headache lately. It's mainly in the front and feels very painful. I also have a cough and my sinuses hurt. What could be wrong with me?",86,2,86,2
1812,"Doctor, I have been experiencing a lot of facial pain and sinus congestion lately. What could be the problem?",197,3,197,3
1813,"Doctor, I'm feeling nauseous and also experiencing a headache. What's happening to me?",38,5,38,5
1814,"I have been experiencing excessive growth, kidney mass, headaches, seizures, and fatigue. What could be the reason behind it?",174,2,174,2
1815,"Doctor, I have been experiencing diminished vision, paresthesia, nausea, and fatigue. What could be causing these symptoms?",197,3,197,3
1816,"Doctor, I have been experiencing some upper abdominal pain and seizures lately. Also, my knees have been hurting a lot. Can you tell me what could be wrong with me?",183,5,183,5
1817,"Doctor, I've been experiencing some blood in my urine and knee pain. What could be the cause of this?",183,5,183,5
1818,"Doctor, I have been experiencing hostile behavior, delusions, excessive anger, and feeling ill lately. I also have depressive and psychotic symptoms. What could be the problem?",80,2,80,2
1819,"Doctor, I have been experiencing hostile behavior and fears, as well as abusing alcohol and feeling depressed. What could be causing these symptoms?",83,2,83,2
1820,"Hi Doctor, I've been having trouble sleeping lately and have been drinking a lot of alcohol to try and help me sleep.",120,3,120,3
1821,"Doctor, I am experiencing depressive and psychotic symptoms along with drug abuse. I am also having problems with movement and feeling very depressed.",69,2,69,2
1822,"Doctor, I have been feeling a lot of anxiety and nervousness lately. What could be the reason behind it?",79,2,79,2
1823,"Doctor, I've been feeling really down lately. I had my baby six weeks ago, but I just can't seem to shake this feeling of sadness. I'm also feeling really anxious all the time and having trouble sleeping. ",93,2,93,2
1824,"Doctor, I have been feeling really down lately. I gave birth to my child about two months ago and since then, I have been having pain during pregnancy, depressive or psychotic symptoms and depression. Could you tell me what's wrong with me?",130,5,130,5
1825,"Doctor, I've been experiencing some unusual symptoms after giving birth. I've been abusing drugs, feeling really down and sometimes having psychotic thoughts. I feel anxious and nervous a lot too. And during my pregnancy, I had some spotting and bleeding. What could be going on?",47,1,47,1
1826,"I've been experiencing drug abuse, delusions, and hallucinations lately. Also, I just had a baby a few months ago. What could be wrong with me?",142,2,142,2
1827,"Doctor, I've been feeling down lately, and I think I might be struggling with drug abuse. I also had a baby a few months ago.",96,2,96,2
1828,"Doctor, I have been experiencing palpitations, sharp chest pain, leg cramps or spasms, and chest tightness. What could be the reason behind all these symptoms?",152,3,152,3
1829,"Doctor, I have been experiencing sharp chest pain along with an irregular heartbeat. What could be the problem?",187,3,187,3
1830,"Doctor, I've been experiencing palpitations, sharp chest pain, and an irregular heartbeat. What could be the cause?",47,2,47,2
1831,"Doctor, I have been experiencing some strange symptoms lately. I have lymphedema, leg cramps or spasms, palpitations, and an irregular heartbeat. What could be causing this?",165,3,165,3
1832,"Doctor, I have been experiencing sharp chest pain lately. Can you tell me what's wrong with me?",30,5,30,5
1833,"Doctor, I have been experiencing pain in my legs. It's a shooting pain that comes and goes. What could be causing it?",141,5,141,5
1834,"Doctor, I have been experiencing back pain, leg pain, low back cramps or spasms, and muscle cramps for a while now. What could be the problem?",172,2,172,2
1835,"Doctor, I am having some pain on my side and my leg, what do you think it could be?",180,5,180,5
1836,"Doctor, I have been experiencing severe neck pain, lower body pain, back cramps or spasms, and leg pain. Can you tell me what might be the problem?",126,2,126,2
1837,"Doctor, I have been experiencing back cramps or spasms for a few weeks now. What could be the cause of this?",72,3,72,3
1838,"Doctor, I have been experiencing some unusual symptoms lately. My muscles seem to be swelling, and I have also lost some sensation in certain areas. Recently, I have also noticed that my vision has diminished and I have been having nosebleeds without any reason. What could be the cause of all these symptoms? ",53,2,53,2
1839,"Doctor, I have been experiencing weight gain, long menstrual periods, nosebleeds, and nausea. What could be the problem?",59,2,59,2
1840,"Doctor, I have been having nosebleeds, muscle swelling, loss of sensation, and nausea. What could be causing this?",63,2,63,2
1841,"Doctor, I've been experiencing loss of sensation, coryza, and nausea for a while now. What could be the problem?",185,3,185,3
1842,"Doctor, I am experiencing diminished vision. Can you tell me what is causing this?",54,5,54,5
1843,"Doctor, I've been having trouble getting pregnant and my periods last for more than a week. I also experience bleeding in between periods and have painful menstrual cramps. Sometimes, I involuntarily release urine during my period. What could be wrong with me?",33,2,33,2
1844,"Doctor, I'm experiencing sharp abdominal pain, long menstrual periods, and cramps and spasms.",19,1,17,1
1845,"Doctor, I've been experiencing a lot of pelvic pain and my periods have been really heavy lately. Can you tell me what's going on?",190,3,190,3
1846,"Doctor, I have been having trouble getting pregnant and I also experience involuntary urination sometimes. Additionally, my periods are always very painful. ",156,3,156,3
1847,"Doctor, I have been experiencing sweating along with my idiopathic nonmenstrual bleeding. What could be the reason behind this?",91,2,91,2
1848,"Doctor, I have been noticing blood clots during my menstrual periods, what could be the problem?",93,3,93,3
1849,"Hi doctor, I've been experiencing pelvic pain and unpredictable menstruation. I also have noticed blood clots during my menstrual periods and have been having some vaginal discharge. Do you have any idea what might be causing this? ",59,2,59,2
1850,"Doctor, I've been experiencing some unusual symptoms including a lot of vaginal discharge, sweating, unpredictable menstruation and my periods last longer than usual. What could be causing this?  ",190,3,190,3
1851,"Doctor, I have been experiencing pelvic pain and sharp abdominal pain, and also painful urination. My menstrual periods have been longer than usual. ",93,2,93,2
1852,"I have a problem with my eye. I feel itchiness and foreign body sensation along with eyelid swelling. Also, my vision is diminished. What could be the cause of my symptoms?",167,2,167,2
1853,"Doctor, my eye has been really itchy lately. ",59,5,59,5
1854,"Doctor, I have a swollen eye and some symptoms of eye irritation. Also, there's a small bump on my eyelid. It's painful and feels like a lump. What do you think might be the problem?",151,3,151,3
1855,"Doctor, my eye has been really bothering me. It's red, swollen, and itchy.",77,3,77,3
1856,"Doctor, my eye is red and swollen. What could it be?",46,3,46,3
1857,"Doctor, I have been experiencing knee swelling, lower abdominal pain and skin swelling. What could be the cause of this? ",194,5,194,5
1859,"Doctor, I'm experiencing unwanted hair growth on my face and my knees are swelling. I also have lower abdominal pain and sharp abdominal pain accompanied by pelvic pain.",30,1,30,1
1860,"Doctor, I have been experiencing lower abdominal pain, knee swelling, achiness all over, and even some acne or pimples. But now I've developed sharp abdominal pain. What could this be?",33,1,29,1
1861,"Hi Doctor, I have been experiencing sharp pelvic pain for the past few days. What could be causing this?",75,5,75,5
1862,"Doctor, I've been experiencing some symptoms like my nails look irregular and my eyes are red. Also, my vision has diminished lately.",60,2,60,2
1863,"Doctor, I am experiencing some strange symptoms. My nails are irregular in appearance, and my vision seems to be diminishing. I am also seeing spots or clouds in my vision, and sometimes pus drains from my ear. What could be the problem? ",58,2,58,2
1864,"Doctor, I have been experiencing diminished vision lately and I also have a mass on my eyelid. What could be the problem?",189,3,189,3
1865,"Doctor, I have been experiencing pain in my eye and there's pus draining from my ear. What could be the problem?",78,2,78,2
1866,"Doctor, I have been experiencing a foreign body sensation in my eye lately. I have also been experiencing pain and occasional blindness in my eye. ",165,3,165,3
1867,"Doctor, I have been experiencing sharp abdominal pain recently.",30,5,30,5
1868,"Doctor, I have been experiencing vulvar irritation and I am currently pregnant, is there something wrong with me?",117,3,117,3
1869,"Doctor, I'm experiencing vaginal pain and vulvar irritation. What could be the problem?",135,3,135,3
1870,"Doctor, I have been experiencing sharp abdominal pain, vaginal itching, pelvic pain, vaginal discharge and itching of skin. Can you tell me what could be the reason for these symptoms?",120,2,120,2
1871,"Doctor, I have been experiencing a lot of vulvar irritation lately. What could be the reason for this?",62,3,62,3
1872,"Hi doctor, I've been experiencing dizziness, facial pain, ear pain, a plugged feeling in my ear, and diminished hearing. Do you know what might be causing this?",91,2,91,2
1873,"Doctor, I have been experiencing fluid in my ear along with fever, facial pain and redness in my ear. What could be the issue?",65,2,65,2
1874,"Hello doctor, I have a cough, headache and facial pain. What could be the reason for this?",147,5,147,5
1875,"Doctor, I have been having a ringing in my ear for a few days now and my hearing seems to be diminished. I also have a cough and a fever. ",111,2,111,2
1876,"Doctor, I have a headache that has been bothering me for a few days now. It seems to be getting worse and I have been feeling a bit dizzy too. ",38,5,38,5
1877,"Doctor, I am having severe back pain and headache. What could be the reason?",38,5,38,5
1878,"Doctor, I have been experiencing a terrible headache and shoulder pain. I also feel dizzy most of the time. ",178,5,178,5
1879,"Doctor, lately I have been experiencing a terrible headache and back pain. ",38,5,38,5
1880,"Doctor, I have been experiencing elbow pain, it hurts to breathe, shoulder pain, hip pain, and fluid retention. Can you tell me what's wrong with me?",45,2,45,2
1881,"Hi doctor, I have been experiencing dizziness and it really hurts to breathe. I also have a headache and back pain. What could be wrong with me?",186,3,186,3
1882,"Doctor, I've been experiencing a persistent cough along with muscle swelling, chest tightness, and anxiety and nervousness. What could be causing these symptoms?",115,2,115,2
1883,"Doctor, I have been experiencing some coughing, nailbiting, difficulty breathing, anxiety and nervousness, and chest tightness. What could be wrong with me?",40,1,40,1
1884,"Doctor, I have been experiencing muscle swelling and anxiety, along with elbow cramps. What could be the problem?",196,3,196,3
1885,"Doctor, I've been feeling a lot of anxiety and nervousness lately, and I also noticed that my legs have been swelling. What could be causing this?",73,2,73,2
1886,I have been having difficulty breathing lately and have noticed weakness in my elbows. I've also been feeling quite anxious and nervous.,87,2,87,2
1887,"Doctor, I have an itchy scalp and my foot and toe have been swelling. My neck has also been swollen. What could be wrong with me?",164,3,164,3
1888,"Doc, there is a growth of skin around my toe nail, and it's quite painful. What could it be?",196,5,196,5
1889,"Hi Doctor, I have a problem with my toe. The skin around it looks irritated and abnormal.",119,2,119,2
1890,"Doctor, I have this weird looking toe with red and infected skin. It also hurts a lot and I suspect it's not normal.",113,2,113,2
1891,"Doctor, I have been feeling unwell for a while now. I have a fever, nasal congestion, dizziness, redness in my ear, and I feel like I can't breathe properly. What could be the problem?",184,3,184,3
1892,"Doctor, I have been experiencing nosebleeds lately. ",103,3,103,3
1893,"Doctor, I have been experiencing nosebleeds, paresthesia, aches all over my body and nasal congestion for the past few days. What could be the reason for these symptoms?",43,2,43,2
1894,"Doctor, I've been having trouble breathing lately and also feel dizzy most of the time. Can you tell me what's wrong with me?",130,3,130,3
1895,"Doctor, I've been feeling quite dizzy lately, what could be wrong with me?",33,5,33,5
1896,"Doctor, I have a lot of pain in my hip. It's so tender to the touch and it's been bothering me for days.",36,2,36,2
1897,"Doctor, I have been experiencing hip pain and leg pain for a few days now.",173,5,173,5
1898,"Doctor, I have swelling in my hip and the area feels very tender to the touch. ",47,2,47,2
1899,"Doctor, I have been experiencing leg pain for a while now.",127,5,127,5
1900,"Doctor, I have been experiencing a severe pain in my leg lately. ",141,5,141,5
1901,"Doctor, I have been experiencing a lot of lacrimation lately, and my eyes are always itchy. I've also noticed double vision and a rash on my eyelid. What could be the issue?",188,3,188,3
1902,"Doctor, my eye is really bothering me. It's swollen and red.",82,2,82,2
1903,"Doctor, I've been experiencing diminished vision and pain in my left eye lately. ",67,5,67,5
1904,"Doctor, I have been feeling a foreign body sensation in my eye for the past few days. What could be the reason for this?",65,3,65,3
1905,"Doctor, I have been experiencing white discharge from my eye, along with pain and redness in my eye. I have also been seeing double recently. What could be the problem?",100,2,100,2
1906,"Doctor, I have been vomiting, my throat feels tight and I am experiencing incontinence of stool.",175,2,175,2
1907,"Doctor, I've been experiencing a tight feeling in my throat and my feet and toes keep cramping up.",150,3,150,3
1908,"Doctor, I have been experiencing vomiting blood, incontinence of stool, and temper problems lately. What could be the problem?",34,2,34,2
1909,"Doctor, I've been vomiting a lot lately, and I'm having difficulty swallowing. ",185,3,185,3
1910,"Doctor, I have a difficulty in swallowing, and it feels like something is stuck in my throat, what could be the cause of this?",169,3,169,3
1911,"Doctor, I have been experiencing excessive tearing in my eye lately. What could be causing this?",166,3,166,3
1912,"Doctor, I have been experiencing diminished vision, pain in my eye, eye redness, a skin lesion, and painful sinuses. What could this be?",55,2,55,2
1913,"Doctor, I have been experiencing foot or toe pain lately.",196,5,196,5
1914,"Doctor, my eye is really bothering me. It's so red and swollen. ",46,3,46,3
1915,"Doctor, I have been experiencing infant spitting up, diarrhea, sharp abdominal pain, and flatulence. Can you tell me what is causing these symptoms?",178,2,178,2
1916,"Doctor, I've been experiencing an allergic reaction and my infant has been spitting up a lot recently. What could be the problem?",175,3,175,3
1917,"I have been experiencing sharp abdominal pain, diarrhea, vomiting, nasal congestion, and my infant has been very irritable lately. What could be wrong with me?",101,2,101,2
1918,"Doctor, I have a 2-month-old baby who's been spitting up a lot, is constipated, and experiences sharp abdominal pain with diarrhea. What could be wrong?",165,2,165,2
1919,"Doctor, I have been experiencing constipation for past few days, what could be the reason?",75,3,75,3
1920,"Doctor, I have been experiencing ankle pain, fatigue, joint stiffness, and pain in my eyes. What could be the cause?",72,2,72,2
1921,"Doctor, I have been experiencing excessive urination at night and shoulder cramps or spasms. What could it be?",70,3,70,3
1922,"Doctor, I've been experiencing shoulder cramps or spasms, pain during pregnancy, pain or soreness of breast, and also facial and ankle pain. What could be the reason behind it?",31,1,28,1
1923,"Doctor, I have been feeling very angry and frustrated lately. And to add to that, I am also having severe pain in my ankle.",195,5,195,5
1924,"Doctor, I have been having pain in my eye and I just noticed a lump on my knee. Do you know what could be causing this?",50,2,50,2
1925,"Doctor, I have noticed skin swelling on my foot along with dryness, peeling, scaliness and a lump. What could it be?",33,2,33,2
1926,"Doctor, I have bumps on my penis and my lips, with skin swelling and lesions. Also, my skin is very dry, peeling, and rough. What could this be?",160,2,160,2
1927,"Doctor, I have these weird skin moles on my fingers and feet that are really bothering me. What could it be?",115,2,115,2
1928,"Doctor, I have these weird bumps on my fingers and they won't go away. ",94,2,94,2
1929,"Doctor, I have noticed some skin lesions on my fingers with some skin moles and growths. Also, I have warts on my face. What could be the reason behind this?",67,2,67,2
1930,"Doctor, I am experiencing some unusual symptoms like vomiting, cramps and spasms, warts and cough. What do these mean?",23,1,21,1
1931,"Doctor, I have been experiencing some symptoms like headaches, warts and redness in my ear. Do you know what could be the problem?",84,2,84,2
1932,"Doctor, I'm experiencing cramps and spasms, along with a headache, fever, redness in my ear, and a cough. What could be wrong?",28,1,26,1
1933,"Doctor, I have these warts on my hand and I've been noticing some redness in my ear, what could be causing this?",157,3,157,3
1934,"Doctor, I have been experiencing weakness lately and I'm having trouble with my memory. What could be wrong with me? ",76,3,76,3
1935,"Doctor, I have been experiencing a disturbance of memory, weakness, and even some feelings of depression. What could be causing these symptoms?",141,3,141,3
1936,"Doctor, I have been experiencing dizziness, headache, disturbance of memory, and sometimes even depressive or psychotic symptoms. What could be happening to me?",107,2,107,2
1937,"Doctor, I'm having difficulty speaking and I've been feeling very depressed lately. I'm also having trouble remembering a lot of things and I'm experiencing some weakness on the right side of my body.",105,2,105,2
1938,"Doctor, I have been experiencing a loss of sensation on one side of my body, focal weakness, and problems with movement. What could it be?",38,2,38,2
1939,"Doctor, I have been experiencing pain in my anus and I noticed an irregular appearing scalp. What could be the issue? ",166,3,166,3
1940,"Doctor, I have been experiencing an ache all over my lower body, my skin is swollen and I feel pain around my anus. What could be the problem?",33,2,33,2
1941,"Doctor, I have noticed some skin swelling near my tailbone, what could be causing this?",37,2,37,2
1942,"Doctor, I have a weird lump on my back, and it's causing me a lot of pain in my anus. I also noticed that the skin around it looks irregular, and there seems to be a fluid retention. What could it be?",54,2,54,2
1943,"Doctor, I have noticed some low back swelling and an irregular appearing scalp. I also have an ache all over and lower body pain. What could be the issue?",112,2,112,2
1944,"Doctor, I've been experiencing foot pain and hand stiffness lately. What could be causing this?",70,3,70,3
1945,"Hi doctor, I have some symptoms that I am concerned about.",108,3,108,3
1946,"Doctor, I am experiencing a lot of hand pain and my ankle is swollen, what could be the problem?",112,3,112,3
1947,"Hi doctor, I have been experiencing a lot of pain in my foot and toes, especially when I put weight on it.",196,5,196,5
1948,"Doctor, I have a hand that's swollen and my foot hurts terribly. Do you have any idea what's causing this?",199,5,199,5
1949,"Doctor, I have been experiencing problems with movement, disturbance of memory, headaches and even depressive or psychotic symptoms lately. What could be the problem?",106,2,106,2
1950,"Doctor, I have noticed a lump on my hip and am experiencing headaches and some depressive symptoms. Do you know what could be causing these?",14,1,14,1
1951,"Doctor, I am having difficulty speaking and also experiencing drainage in my throat along with a headache.",92,2,92,2
1952,"Doctor, I've been experiencing some involuntary urination, palpitations, problems with movement, headache, and a hip lump or mass. What could be wrong with me?",16,1,16,1
1953,"Doctor, I'm experiencing palpitations, problems with movement and a hip lump or mass. What could be the cause?",124,2,124,2
1954,"Doctor, I have been experiencing an irregular appearing scalp lately, along with skin swelling, acne or pimples, and even skin growth. What could be the problem?",31,2,31,2
