Question_ID,Question,Greedy,GreedyDist,GreedyGen
1006,"Hi doctor, I have been experiencing excessive thirst, confusion, and nausea recently. My urine output is also decreasing. I think I might have Syndrome of inappropriate secretion of ADH (SIADH).",1123,72,1123
1007,"Hi doctor, I think I have a foreign body in my ear. It's been bothering me for a while now.",1123,132,1080
1008,"Hi Doctor, I have been experiencing some symptoms like mood swings, anxiety and bloating every month before my periods. Is there anything that can help me with this?",1123,16,1123
1009,"Doctor, I have been experiencing pain in my eye and my vision seems to be getting blurry. I visited an ophthalmologist who diagnosed me with orbital cellulitis. What medications do I need to take?",647,47,1123
1010,"Hi Doctor, I fell down last night and hurt my leg badly. Can you please tell me what medications I need to take?",647,143,1123
1011,"Doctor, I was diagnosed with Hepatic encephalopathy. What kind of medications should I take?",647,152,1123
1012,"Doctor, I have been diagnosed with bone cancer. What medications should I take for this disease?",647,151,1123
1013,"Doctor, I have been diagnosed with Leishmaniasis. What medication do I need to take?",647,147,1123
1014,"Hello doctor, I have been diagnosed with Chagas disease. Could you please suggest the medications that I would need to take? ",647,153,1123
1015,"Doctor, I have been experiencing some numbness and weakness in my arms and legs lately. After some tests, my doctor diagnosed me with Syringomyelia. Can you prescribe any medications to help me cope with my symptoms?",1123,50,1123
1016,"Doctor, I have been experiencing difficulty in breathing, and my chest feels tight. It's been like this for quite some time now.",250,179,1112
1017,"Hi doctor, I have been experiencing shaking and tremors in my hands and legs for some time now.",1123,43,1123
1018,"Doctor, I've been experiencing severe pain in my big toe and it's been red and swollen. I think I might have something called Gout.",1123,31,1123
1019,"Doctor, I have been having ear pain and difficulty hearing for a few days now. I think it might be otitis media. What medication should I take?",647,23,1123
1020,"I've been struggling with drug abuse, specifically opioids. What medication do you recommend for me?",1123,153,1102
1021,"Doctor, I have been feeling very weak lately and my blood count is really low, what could be the issue?",250,35,1123
1022,"Doctor, I have a fracture in my shoulder. What medication should I take?",647,140,1123
1023," Hi doctor, I have been experiencing some discomfort and pain in my kidneys. I am concerned that I may have acute kidney injury. ",1123,48,1123
1024,"Doctor, I have been feeling a severe headache lately along with nausea and vomiting. When I got checked, I got to know that I have an intracranial abscess. What medications do I need?",647,70,1123
1025,"Hi doctor, I have been experiencing bleeding gums and bad breath for a while now. I suspect I may have gum disease, what medication do I need to take?",1123,195,1123
1026,I have an open wound from my surgical incision. What medications do I need to take?,647,29,1123
1027,I am having a gastrointestinal hemorrhage. What medication do I need to take?,647,161,1123
1028,"Hi doctor, I have been experiencing a lot of redness and flakes on my scalp, eyebrows and around my nose. I also have some itchiness. I think I might have seborrheic dermatitis.",1123,32,1123
1029,"Doctor, I have been struggling with drug abuse, specifically methamphetamine. Can you prescribe me medications that can help me overcome this addiction?",647,186,1123
1030,"Hi Doctor, I have been experiencing a lot of neck pain and stiffness for the past few days. I was also told by another doctor that I have torticollis. What medications should I be taking? ",1123,186,1123
1031,"Doctor, I think I may have been poisoned by antihypertensive medication. What medication do I need to take?",1123,160,1123
1032,"Doctor, I've been having these awful headaches lately. They start at the back of my neck and then shoot up to my forehead. I've tried ibuprofen but it doesn't seem to be helping.",429,29,1123
1033,"Doctor, I think I might have alcohol intoxication. ",250,189,1048
1034,"Doctor, I have been feeling a lot of weakness lately, and my gums started bleeding. I also noticed that my skin is getting dry and rough. I am concerned that I might have scurvy.",1123,47,1123
1035,"Hi Doctor, I think I might have narcolepsy. I keep falling asleep during the day no matter how much rest I get at night.",1123,193,1090
1036,"Doctor, I seem to have a food allergy. Whenever I eat something containing nuts, I develop rashes, hives and breathing difficulties. What medication should I take for this?",1123,17,1123
1037,"Doctor, I have been experiencing severe dizziness and vertigo for the past few days. I also have constant ringing in my ears and difficulty hearing properly. I think I may have Labyrinthitis. ",1123,38,1123
1038,"Doctor, I've been feeling very anxious lately. I have trouble sleeping, and I'm constantly worried about everything. What can I do to feel better?",304,141,1119
1039,"Doctor, I have a problem controlling my impulses. I sometimes do things that I immediately regret. Can you suggest any medication for this?",647,13,1123
1040,"Hello Doctor, I have been experiencing teary eyes and was told that I have stenosis of the tear duct. What medication do I need to take for this?",647,194,1123
1041,"Doctor, I have been experiencing a lot of pain and swelling in my nose. I think it might be an abscess. ",647,45,1123
1042,"Hello Doctor, I have been having some issues with my belly button lately. It's red, swollen, and painful. I also noticed some discharge coming from it. What do you think could be the problem?",1123,19,1101
1043,"Doctor, I have been diagnosed with leukemia. Can you please suggest some medications for me?",647,151,1123
1044,"Hi doctor, I think I have Bell palsy, my face feels weak and numb on one side.",647,119,1103
1045,"Doctor, I have been experiencing redness and watery discharge in both my eyes, and it's becoming quite uncomfortable. ",647,16,1123
1046,"Doctor, I'm having a reaction to a medication I've been taking. My skin is itchy and red, and I have difficulty breathing.",429,23,1123
1047,"I have been diagnosed with adrenal cancer, what medications do I need to take for this disease?",647,167,1123
1048,"Doctor, I have been having trouble seeing objects in the distance clearly. ",429,15,1123
1049,"Hi doctor, I have been experiencing joint pains and stiffness, especially in my knees. ",1123,15,1123
1050,"Doctor, I am experiencing fatigue, weight gain, and hair loss. I think I have a thyroid disease.",185,77,1123
1051,"Doctor, I've been having a sore throat for a few days, and it's starting to get really painful when I swallow. ",250,12,1123
1052,"Doctor, I have been experiencing recurring episodes of fever and joint pain for the past few months. My doctor suggested I might have chronic rheumatic fever. Can you please tell me what medications I would need to take for this?",647,49,1123
1053,"Hi Doctor, I am experiencing muscle cramps, weakness, tingling and numbness in my hands and feet. What could be the problem and what medication do I need?",1123,46,1123
1054,"Hi, doctor. I have been experiencing difficulty in reading and recognizing faces. I was told by another doctor that I might have macular degeneration. What medications do I need to take? ",647,43,1123
1055,"Doctor, I've been feeling really sick lately. I keep coughing and it's getting harder to breathe. I went to urgent care and they said I have pneumonia. What can I take for it?",647,54,1123
1056,"Hi doctor, I think I have a cold sore. What kind of medication do I need?",647,197,1123
1057,"Doctor, I have been experiencing premature ventricular contractions (PVCs) recently. What medications do I need to take for it?",647,132,1096
1058,"Hello Doctor, I have been experiencing painful sores in my genital area. I think I might have chancroid.",1123,158,1054
1059,I have been diagnosed with testicular cancer. What medications do I need to take?,1123,178,1123
1060,"Doctor, I have been diagnosed with Hydrocephalus. What medications should I take?",647,165,1123
1061,"Doctor, I was recently diagnosed with breast cancer. Can you suggest some medications for me?",647,13,1123
1062,"Hi doctor, I have been feeling extremely weak and dizzy lately. After a few tests, my oncologist told me I have anemia due to malignancy. What medications do I need to take for this?",647,77,1123
1063,"Doctor, I have been experiencing frequent swelling and inflammation in the veins of my esophagus along with an increased risk of bleeding. What could be the reason for this, and what medication should I take?",1123,74,1123
1064,"Hello Doctor, I have been diagnosed with Endometrial cancer. What are the required medications for it?",1123,130,1123
1065,"I have been diagnosed with cystic fibrosis, what medications do I need to take?",647,155,1123
1066,"Hi doctor, I have been diagnosed with Parathyroid adenoma. What medications do I need?",647,167,1123
1067,"Hi doctor, I was recently diagnosed with glucocorticoid deficiency. What medication do I need to take?",647,194,1087
1068,"Doctor, I am suffering from Temporomandibular joint disorder, can you please suggest some medications?",647,151,1117
1069,"Doctor, I have been diagnosed with Wilson disease, what medications do I need to take?",647,164,1123
1071,"Hi Doctor, I have been feeling extremely fatigued and have difficulty seeing in low light. I think I might have a Vitamin A deficiency. ",1123,26,1123
1072,"I think I might have gonorrhea, I have been experiencing pain during urination and some unusual discharge.",98,43,1123
1073,Hi doctor. I think I have a fracture in one of my ribs. ,198,83,1123
1074,"I have been diagnosed with Ependymoma, can you please prescribe me the medications for it?",647,138,1123
1075,"Doctor, I have been diagnosed with Hepatitis due to a toxin. What medications do I need to take?",1123,175,1123
1076,"Doctor, I was diagnosed with a vaginal cyst. What medications do I need to take?",647,123,1123
1077,"Doctor, I have an open wound on my shoulder, it's painful and I think I need some medication to treat it. ",647,31,1123
1078,"Doctor, I recently found out that I have an ectopic pregnancy. Can you suggest what medication I should take for this condition?",429,157,1020
1079,"Hi Doctor, I am suffering from chronic knee pain. Can you tell me what medications can help me?",647,11,1123
1080,"Hi doctor, I have been experiencing redness and irritation in my eyes for a while now. Upon examination, my ophthalmologist diagnosed me with Pinguecula. What medication do I need to take?",647,15,1123
1081,"Hi, doctor. I've recently been diagnosed with Hypergammaglobulinemia. What medications do I need to take?",647,158,1123
1082,I have been struggling with alcohol abuse for a while now. It is really affecting my mental and physical health. Do you have any medication that can help me with this?,647,19,1123
1083,"Hi Doctor, I'm experiencing numbness and tingling in my hand which happens mostly at night. My grip has also weakened. I'm suspecting it could be carpal tunnel syndrome. ",1123,189,1123
1084,"Hi doctor, I've been experiencing some issues with my pituitary gland. I think I might have a pituitary disorder.",157,153,1123
1085,"Doctor, I am experiencing sharp pain in my lower back and side. I think I might have a kidney stone. ",647,14,1123
1086,"I've been recently diagnosed with Autism, what kind of medications do I need to take?",647,115,1075
1087,"Doctor, I think I have cat scratch disease. My lymph nodes are swollen and I have a fever. What medication do I need?",647,19,1123
1088,"Hello Doctor, I have been suffering from chronic glaucoma. Can you please prescribe me the required medications?",80,62,1123
1089,"Doctor, I have been feeling extremely weak and tired lately. I went to the lab for some blood work and the results showed that I have aplastic anemia. What medication should I take?",647,77,1123
1090,"Doctor, I have been experiencing overflow incontinence. ",1123,96,901
1091,"Hi doctor, I'm exhibiting symptoms of rabies. I'm feeling very feverish and my throat is starting to close up.",429,17,1123
1092,"Hi Doctor, I have been experiencing fatigue, weakness, and pale skin. The blood tests showed that I have hemolytic anemia. What medication do I need to take?",647,56,1123
1093,"Hi doctor, I think I may have lateral epicondylitis, also known as tennis elbow. ",429,151,1123
1094,"Doctor, I have an open wound in my eye that is causing me a lot of pain. What medications do I need to take?",1123,26,1123
1095,"Doctor, I recently tested positive for syphilis. What medication do I need to take?",647,155,1123
1096,"Hi doctor, I have recently been diagnosed with diabetic kidney disease. What medication should I take to manage this condition?",1123,98,1123
1097,"Hi doctor, I've been having trouble breathing through my nose and I've also been experiencing a runny nose and sneezing a lot. Do you know what might be wrong? ",647,16,1123
1098,"Doctor, I've been experiencing terrible symptoms of drug withdrawal, and it's really taking a toll on me. Is there any medication that I can take to help alleviate these symptoms? ",647,157,1123
1099,"Doctor, I have been experiencing a lot of pain in my teeth and my dentist said that I have dental caries. What medication should I take?",1123,116,1118
1100,"Doctor, my last lab reports showed that my cholesterol levels were quite high, and I'm worried about my health. What medication should I be taking for this hypercholesterolemia?",647,186,1123
1101,"Doctor, I think I have a fracture in my patella. Can you help me with it?",144,88,1123
1102,"Doctor, I've been diagnosed with kidney failure. What medications do I need to take?",1123,181,1087
1103,"Hi Doctor, I suffered a fracture of the neck and I am in severe pain. What medication do I need to take?",198,38,1123
1104,"Hi doctor, I have been experiencing muscle spasms lately. It's really uncomfortable and I'm not sure what to do.",1123,87,823
1105,"Doctor, I have been diagnosed with Hemophilia, what medications do I need to take for this disease?",647,122,1102
1106,"Hi Doctor, I have been feeling really sick lately and my blood sugar levels are extremely high. I also have high levels of ketones in my blood.",250,58,1123
1107,"Doctor, I have been experiencing severe sore throat and difficulty swallowing. It's been like this for a few days now.",250,12,1123
1108,"Hi doctor, I have been experiencing symptoms of Gastroparesis lately. Can you prescribe me some medications for it?",1123,181,1087
1109,"Doctor, I have been experiencing severe itching all over my body for days now. I don't know what is causing it.",1123,17,1123
1110,"Doctor, I have been diagnosed with Polycythemia vera. What medications do I need to take?",647,158,1123
1111,"Doctor, I have been diagnosed with thrombocytopenia. What medications do I need to take for it?",647,155,1123
1112,"I have been diagnosed with head and neck cancer, what are the required medications for my treatment?",1123,39,1123
1113,"Doctor, I have been diagnosed with Pseudohypoparathyroidism. What medications do I need to take?",647,154,1123
1114,"Hi Doctor, I have been experiencing swelling in my neck and it has been getting bigger over time. I think I might have a goiter.",1123,109,1105
1115,"Doctor, I have been experiencing urge incontinence, which is very distressing to me. What medications do you recommend?",1123,175,1072
1116,"Doctor, I have been suffering from Edward syndrome. What medication do I need to take?",647,159,1123
1117,"Doctor, I have an open wound on my arm, and it's really painful. What medication do I need to take?",647,30,1123
1118,"Doctor, I have been diagnosed with Muscular Dystrophy. Can you prescribe me some medication for it?",1123,129,1123
1119,"Doctor, I have been having severe pelvic pain every month mid-cycle, which is interfering with my daily routine. Could you please suggest some medications for this condition?",647,28,1123
1120,"Doctor, I have been experiencing sharp pain and discomfort in my eye. I suspect I may have a corneal abrasion. ",80,58,1123
1121,"Doctor, I have been feeling low for the past few months. I think I may have dysthymic disorder.",184,36,1123
1122,"Doctor, I have a high fever, a sore throat, and a rash on my body. I think I might have scarlet fever.",1123,21,1123
1123,"Doctor, I have been recently diagnosed with hypertensive heart disease. Can you prescribe medication for it?",105,93,1123
1124,"Doctor, I've been struggling with drug abuse, specifically barbiturates. What medications do you recommend for me?",1123,138,1113
1125,"Hi doctor, I have been diagnosed with Polycystic ovarian syndrome (PCOS). What medication do I need to take?",647,200,1123
1126,"Hi doctor, I have been experiencing severe headaches and confusion for the past few weeks. I also have a fever and my muscles are very weak. My family suspects that I might have Encephalitis. ",1123,42,1123
1127,"Hi doctor, I have been experiencing a cyst on my eyelid for a while now. Can you suggest any medications to get rid of it?",647,16,1123
1128,"Doctor, I have been experiencing redness and swelling on the head of my penis, and it's very itchy.",1123,22,1123
1129,"Doctor, I've got something stuck in my throat and I can't seem to swallow. What medications do I need to take to get rid of it?",647,132,1123
1130,"Doctor, I have been struggling with drug abuse, specifically cocaine. What medications do I need to treat this?",647,15,1123
1131,"Hi Doctor, I have been experiencing some vision problems lately. My vision is blurry, and I have trouble seeing colors. I also feel pain behind my eyes.",429,20,1123
1132,"I have been experiencing anxiety, restlessness, and tremors since I stopped drinking last week.",1123,19,1123
1133,"Doctor, I've been experiencing premature atrial contractions (PACs). What medication do I need to take?",647,135,1123
1134,"Doctor, I have been experiencing weakness or paralysis on one side of my body. I think I have Hemiplegia, can you please provide me with the list of required medications for this condition?",1123,200,1105
1135,"Doctor, I think I have hammer toe. My second toe is bent downward and the skin on top is painful and callused.",1123,13,1112
1136,"Hi doctor, I have an open wound on my cheek from a fall. What do I need to do?",206,121,1123
1137,"I have been experiencing swelling and stiffness in my joints, especially the knee joint. It's difficult for me to move around and I feel constant pain.",429,31,1123
1138,"Doctor, I have a big open wound on my knee. It's very painful and I am worried about infection. What medication should I take?",647,80,1123
1139,"Doctor, I have been diagnosed with Meningioma. What medications should I take? ",647,120,1123
1140,"Doctor, I was recently diagnosed with brain cancer. What medication do I need to take?",647,151,1123
1141,"Doctor, I have been diagnosed with Placental Abruption. What medications do I require?",647,157,1123
1142,"Hi doctor, I've been experiencing sneezing, itchy and watery eyes, and a runny nose lately. I think it might be my seasonal allergies acting up again.",647,27,1123
1143,"Doctor, I was diagnosed with lung cancer. What medications do I need to take?",647,138,1123
1144,I have been diagnosed with primary kidney disease. What are the required medications for it? ,1123,147,1028
1145,"Hello doctor, recently I have been diagnosed with uterine cancer. Can you please advise me on what medications I need to take?",647,156,1123
1146,"Doctor, I have been experiencing dryness in my eyes for a while now, and it's becoming quite uncomfortable. What could be causing this?",429,20,1123
1147,"Doctor, I have been diagnosed with fibrocystic breast disease. What medications should I take?",647,156,1123
1148,"Hello, doctor. I think I have a fungal infection of the hair.",1123,98,1123
1149,"Doctor, I have a tooth abscess and it's really painful. What medication do I need?",169,55,1123
1150,"Doctor, I have been having fever, muscle aches, and vomiting for the past few days. I went to a farm last week and was in contact with contaminated water. ",647,64,1123
1151,"Hi doctor, I think I was bitten by a spider or some animal when I was hiking in the woods. Now, my bite area is swelling, itchy and I'm having trouble breathing.",429,19,1123
1152,"Doctor, I have been diagnosed with VACTERL syndrome, what medications do I need to take?",647,140,1123
1153,"Doctor, I have been experiencing dizziness, vertigo, and headache for the past few weeks. Can you please tell me what's wrong with me?",38,40,1123
1154,"Doctor, I've been experiencing some discomfort in my rectal area. ",1123,102,899
1155,"Doctor, I have been having difficulty emptying my bladder completely. It feels like my bladder is weak. What could be causing this?",647,161,1123
1156,"Doctor, I have been experiencing a spinning sensation and dizziness over the past few days.",250,22,1123
1157,"Hi doctor, I have been experiencing involuntary contractions of my eyelids. My eyes blink frequently and sometimes they remain closed for a longer than usual duration. Is this something I should worry about?",647,13,1123
1158,"Doctor, I've been having some breathing problems and my skin has become very sensitive. I'm also experiencing a lot of fatigue and joint pain. ",1123,22,1123
1159,"Doctor, I was diagnosed with metastatic cancer. What are the medications that I need to take?",647,151,1123
1160,"Doctor, I have this problem with my fingers where they get stuck and I can't straighten them out easily. It's quite painful and I'm having trouble with my daily activities.",250,18,1123
1161,"Hi doctor, I have a stye in my eye. What are the required medications for it?",1123,175,1087
1162,"I have been diagnosed with Hemochromatosis, what medications do I need to take?",647,122,1102
1163,"Hi, I have been diagnosed with Osteochondroma. What medications should I take?",647,151,1123
1164,"Hi doctor, I just got diagnosed with Cushing syndrome. Can you tell me what medication would be required for my treatment?",647,38,1123
1165,"Doctor, I have been experiencing a high fever, stomach pain, and a severe headache. I think I might have typhoid fever.",114,78,1123
1166,"Doctor, I've been experiencing some vision problems lately. My eyesight seems to be gradually getting worse, and I've noticed some floaters in my vision. ",250,44,1123
1167,"Doctor, my skin is thin, dry, and has a rough texture. It also appears to be atrophying. What could be wrong with me?",429,18,1116
1168,"Doctor, I have been diagnosed with Aspergillosis. What medications should I take?",647,147,1123
1169,"Doctor, I was diagnosed with uterine atony. What medication do I need to take?",647,156,1123
1170,"Doctor, I think I have Trichinosis, what medication should I take?",647,137,1123
1171,"Hi doctor, I have been experiencing severe coughing fits and shortness of breath. I think I may have whooping cough. ",429,28,1123
1172,"Doctor, I have been diagnosed with Pick disease. What medication do I need to take?",647,155,1123
1173,"Doctor, I have an open wound on my lip that won't stop bleeding. It's really painful and I'm worried about infection. ",1123,62,1123
1174,I have been experiencing pain and inflammation in my thyroid gland for the last few weeks. What medications do I need to take for my subacute thyroiditis?,1123,60,1123
1175,"Hi doctor, I have a painful sore in my mouth, and some small red spots around it. It's making it difficult to eat or speak without discomfort.",647,155,1114
1176,"Doctor, I have been experiencing severe headache, nausea, and vomiting for the last 2 days. Yesterday, I also had a seizure. Could you please tell me what's wrong with me and what medications I need?",1123,43,1123
1177,"Hi, doctor. I've been experiencing memory loss and confusion lately, and my family is concerned that it might be Alzheimer's disease.",206,57,1123
1178,"Hi doctor, I think I might have vaginismus, I've been experiencing pain during sex and am struggling to relax my vaginal muscles.",647,148,1123
1179,"Doctor, I have recently been diagnosed with Systemic Lupus Erythematosis. Can you please tell me what medication I need to take?",647,143,1123
1180,"Doctor, I have been diagnosed with Premature Ovarian Failure. What medications do I need to take for this?",647,200,1123
1181,"Hi doctor, I have been experiencing some pain and numbness in my arms and shoulders. It also feels like my arms are constantly fatigued. I did some research and I think I might have thoracic outlet syndrome, do you have any recommendations for medication?",1123,49,1123
1182,"I have a ganglion cyst, what medication can I take?",647,144,1123
1183,"Doctor, I went to the hospital yesterday, and they diagnosed a dislocation of my knee. What medication do I need to take?",647,11,1123
1184,"I have been diagnosed with Crohn disease, and I'm wondering what medications I need to take for this.",647,148,1123
1185,"Hi doctor, I think I might have a postoperative infection. My stitches are red and swollen, and I feel feverish.",304,27,1123
1186,"Doctor, I think I might be suffering from folate deficiency.",647,134,973
1187,"Doctor, I've been feeling bloated and my ankles are swelling. I think I might be experiencing fluid overload. What medication do I need?",647,182,1118
1188,"Doctor, I've been experiencing some irregular heartbeats lately. The palpitations come and go and I'm worried it might be something serious.",304,128,1101
1189,"Hi Doctor, I have been experiencing some issues with my skin lately. It's a skin disorder, and I wanted to know if you could recommend any medications for me.",647,163,1123
1190,"Hi doctor, I've been seeing these small spots and specks moving around in my vision lately. It's really annoying and distracting. ",250,114,1123
1191,"Hi doctor, I have been experiencing a lot of pain in my tooth. I think it might be due to some kind of infection.",1123,111,1123
1192,"Doctor, I think I had a heart attack, my chest feels like it's being squeezed, and I can't catch my breath.",647,24,1112
1193,I have an open wound on my abdomen that's not healing well. What medication should I take?,647,183,1123
1194,"Hi Doctor, I recently got a fracture in my leg and I am experiencing a lot of pain. What can be done to treat this?",206,31,1123
1195,"Hi doctor, I think I have oral thrush. ",169,74,1123
1196,"Doctor, I have a skin rash that is spreading and it's very itchy. I think I might have pityriasis rosea. ",429,186,1123
1197,"Hi, doctor. I think I may have an allergy to animals. Whenever I go to a friend's house who has a pet, I start to get itchy eyes, sneeze a lot, and sometimes it's hard to breathe. ",647,16,1123
1198,I have been experiencing dizziness and fainting when standing up. What could be causing this?,647,20,1112
1199,"Doctor, I've been waking up feeling very tired lately and I snore a lot while sleeping. I think I might have Obstructive Sleep Apnea.",1123,107,983
1200,"Hi Doctor, I've been feeling really weak and tired lately, and I hear that might be because of my hypokalemia.",250,46,1123
1201,"Hi, doctor. I was diagnosed with psoriasis recently. What medications do I need to take?",647,137,1123
1202,"Doctor, I dislocated my shoulder while playing football yesterday. What medication should I take for the pain?",647,159,1096
1203,"Hi doctor, I have been feeling abdominal pain and vomiting for the past few days. After undergoing some tests, I was diagnosed with Intussusception. What medication do I need to take?",1123,37,1123
1204,"Doctor, I have a lot of vaginal discharge and sometimes it's accompanied by bleeding. I also have pelvic pain and pain during intercourse.",1123,18,1099
1205,"Hi doctor, I have been having a sore throat and difficulty swallowing for a few days now. I think I might have an abscess of the pharynx.",250,44,1123
1206,"Doctor, I have been recently diagnosed with Primary thrombocythemia. Can you suggest me some medications for it?",647,155,1123
1207,"Doctor, I have been diagnosed with arthritis of the hip, what medication would you recommend?",1123,170,1123
1208,"Hi doctor, I have been diagnosed with a decubitus ulcer. What medications do I need?",647,116,1118
1209,"Doctor, I have been feeling very thirsty and have been drinking a lot of water lately. I think I might have hypernatremia, what should I do?",185,50,1123
1210,"Doctor, I have been experiencing some hearing loss recently. I went to see an audiologist and was told that I have sensorineural hearing loss. What medication do I need to take?",647,15,1123
1211,"Doctor, I have this chronic ulcer on my leg which does not heal. What medications should I take?",647,15,1123
1212,"Hi doctor, I'm experiencing frequent bone fractures and pain. I suspect that I may have Osteoporosis.",198,71,1123
1213,"Hi doctor, I am suffering from Ileus. What medications should I take?",647,190,1087
1214,"Doctor, I have been experiencing severe pain and discomfort due to my sickle cell crisis. What medication should I take to alleviate the symptoms?",647,28,1123
1215,"Doctor, I have been experiencing a burning sensation while urinating and some discharge. Can you help me?",98,14,1116
1216,"Hi Doctor, I've been experiencing pain and discomfort in my urinary tract and was told by my primary doctor that I may have prostatitis. What medication do I need?",647,45,1123
1217,"Doctor, I have been experiencing severe pain and itching in my ear. I believe I have swimmer's ear.",1123,132,1080
1218,"Hi Doctor, I think I am suffering from poisoning due to anticonvulsants. I had been taking them for a while to control my seizures, but now I am experiencing some really bad side effects.",1123,43,1123
1219,"Doctor, I think I have testicular torsion, it's been really painful down there.",1123,70,822
1220,"Doctor, I have been diagnosed with tricuspid valve disease. What medications do I need to take?",647,153,1123
1221,"Doctor, I've been feeling weak and tired lately. My bones and muscles ache all the time. I'm worried something might be wrong. ",647,22,1123
1222,"Doctor, I have been diagnosed with Hydatidiform mole. What medications should I take?",647,113,1123
1223,"Hi doctor, I've been having this pain disorder affecting my neck for some time now. It's been causing me a lot of discomfort and making it hard for me to go about my daily activities. What medication can I take for this?",647,67,1123
1224,"Hi doctor, I have been experiencing coughing, chest pain, night sweats, and weight loss. After some tests, my doctor told me that I have tuberculosis. What medication do I need to take?",1123,36,1123
1225,"Hey Doc, I have been experiencing symptoms related to pelvic fistula. Can you suggest me some medications for this disease?",647,139,1123
1226,Hi Doctor. I've been having difficulty in breathing for the past few days. It feels like my airways are inflamed and I'm coughing up phlegm. I don't know what's going on.,429,37,1123
1227,"Doctor, I am having difficulty focusing on close objects lately. Everything seems to appear blurry when I try to read or do any close-up work. ",1123,16,1123
1228,"Hi doctor, I have been having trouble with forgetfulness, confusion and difficulty in completing simple tasks.",206,31,1123
1229,I have some sort of insect bite on my leg that's causing a lot of itching and discomfort. What should I do about it?,1123,34,1123
1230,"Doctor, I am experiencing rapid heartbeats and palpitations, especially during physical activities.",304,26,1123
1231,"Hi doctor, I was recently diagnosed with congenital heart defect. Can you please tell me what medications I need to take?",647,132,1096
1232,"Doctor, I have been feeling really weak and tired lately, and I have noticed that my joints are getting stiff and sore. My skin also seems to be more sensitive than usual. Can you tell me what might be wrong with me and what kind of medication I would need?",1123,25,1123
1233,"Hello, doctor. I have a Foreign body in my eye. ",429,155,1123
1234,"Doctor, I am feeling very uneasy and my breathing is difficult. I think I might have been poisoned due to gas leakage.",647,40,1123
1235,"Hi doctor, I have a pyogenic skin infection. What medication do I need?",1123,188,1109
1236,"Doctor, I was just diagnosed with endometrial hyperplasia. Can you tell me what medications I need to take?",647,156,1123
1237,"Hi doctor, I have acanthosis nigricans. ",84,98,1123
1238,"Doctor, I've been experiencing a lot of chest pains and shortness of breath lately. I also have a history of heart disease in my family.",105,47,1123
1239,"Doctor, I have a viral exanthem, and I'm feeling very itchy all over my body. What medications do I need to take?",429,146,1123
1240,"Doctor, I have been experiencing severe abdominal pain, bloating, diarrhea, and nausea. What do you think is wrong with me and what medication should I take?",647,37,1123
1241,"Hi doctor, I have been experiencing frequent and hesitant urination lately. It seems like I have to go to the bathroom all the time, but when I do, only a little comes out. I think I might have BPH. ",647,191,1123
1242,"Doctor, I have been experiencing hot flashes, night sweats, and mood swings lately. I think I am approaching menopause. What should I do?",1123,16,1122
1243,"Hi doctor, I've been experiencing recurrent infections lately and I'm always tired. After some tests, I was diagnosed with a primary immunodeficiency. What do I need to take to treat this condition?",1123,39,1123
1244,"Doctor, I have been diagnosed with ovarian cancer. What medications will I need to take?",647,163,1123
1245,"Hi doctor, I have been experiencing difficulty with my vision lately, and I just found out that I have cataracts. What medication do I need?",80,44,1123
1246,"Doctor, I think I dislocated my hip. It's very painful and I can't move my leg.",173,40,1123
1247,"Doctor, I have been experiencing constant back pain and leg numbness. My MRI report says that I have spinal stenosis. What medications can help me with this condition?",1123,28,1123
1248,"Doctor, I have been feeling a lot of discomfort in my stomach and constipated for the past few days. I think I may have an intestinal obstruction, what medication should I take?",647,43,1123
1249,"Doctor, I recently had an accident and got diagnosed with heart contusion. What do you suggest I take as medication?",647,158,1123
1250,"Doctor, I have been diagnosed with Congenital Malformation Syndrome. What medication do I need to take?",647,159,1123
1251,"Hello doctor, I think I might have Sporotrichosis. ",84,98,1123
1252,"Doctor, I am experiencing redness, swelling, and pain in my arm. I also have a fever and chills. ",429,34,1123
1253,I have been experiencing memory problems and confusion lately. I think I might have Wernicke Korsakoff syndrome. ,206,55,1123
1254,"Doctor, I have been diagnosed with an intestinal disease. Can you please tell me what medications I need to take?",647,148,1123
1255,"Doctor, I have been experiencing a persistent cough for a week now and it's getting worse. I also have a sore throat and difficulty breathing. What could be wrong with me?",250,21,1123
1256,"Doctor, I have been experiencing persistent vomiting for the past few days and I have no idea what is causing it. ",14,21,1123
1257,"Hi doctor, I have an open wound on my foot that I accidentally got while hiking. It's quite painful and I'm worried about infection. ",647,48,1123
1258,"Hi, doctor. I have been recently diagnosed with myocarditis. What medications should I be taking?",647,20,1112
1259,"Doctor, I have been diagnosed with Preeclampsia. What medication do I need to take?",647,157,1123
1260,"Doctor, I've been experiencing chest pain and shortness of breath lately. I think it might be related to my ischemic heart disease. What should I do?",105,47,1123
1261,"Hi Doctor, I have been recently diagnosed with Neurofibromatosis. What medications do you recommend for the treatment of this disease? ",647,157,1123
1262,"I have been experiencing rashes and itching all over my body. I heard it may be chickenpox, what medication will help me with this?",647,188,1123
1263,"Doctor, I've been diagnosed with pancreatic cancer.",429,170,1086
1264,"Hi, doctor. I was recently diagnosed with neuropathy caused by drugs. What medications do I need to take to treat this condition?",1123,124,1123
1265,"Doctor, I think I have croup. I have a barking cough and a hoarse voice. ",647,19,1123
1266,"Hi doctor, I have been having really heavy periods and my gynecologist told me that it's idiopathic excessive menstruation. What medication do I need for this?",1123,125,1107
