Index,Question,Q_KeyEntities,Q_KGEntities,Answer,A_KeyEntities,A_KGEntities
983,"Doctor, I have been experiencing stress incontinence lately. It's really affecting my daily life, I need some medication to improve the situation.","['Stress incontinence', 'Medication']","['Incontinence_of_stool', 'Adderall']",I recommend you start taking either 'Tolterodine' or 'Oxybutynin' for your stress incontinence. These medications can help to relax the muscles in your bladder and reduce the urge to urinate frequently.,"['Stress incontinence', 'Tolterodine', 'Oxybutynin', 'Muscles of bladder']","['Incontinence_of_stool', 'Tolterodine_(Detrol)', 'Oxybutynin', 'Symptoms_of_bladder']"
984,"Doctor, I have been diagnosed with varicose veins. What medication do I need to take?","['Varicose veins', 'Medication']","['Peripheral_edema', 'Adderall']",You will need to apply a topical cream called Becaplermin Topical.,"['Topical cream', 'Becaplermin Topical']","['Terconazole_Topical', 'Beclomethasone_Nasal_Product']"
985,"Hi doctor, I was recently diagnosed with a benign kidney cyst. What medication do I need to take?","['Benign kidney cyst', 'Medication']","['Kidney_mass', 'Adderall']","You need to take Tamsulosin (Flomax), Pioglitazone (Actos), Glucosamine, Tolterodine (Detrol), Glimepiride, Tiotropium (Spiriva), Nystatin Topical Product, Lutropin Alfa (Luveris), Pyridostigmine (Mestinon), Pentosan Polysulphate Sodium (Elmiron), and Ciclopirox Topical.","['Tamsulosin (Flomax)', 'Pioglitazone (Actos)', 'Glucosamine', 'Tolterodine (Detrol)', 'Glimepiride', 'Tiotropium (Spiriva)', 'Nystatin Topical Product', 'Lutropin Alfa (Luveris)', 'Pyridostigmine (Mestinon)', 'Pentosan Polysulphate Sodium (Elmiron)', 'Ciclopirox Topical']","['Flecainide', 'Levocetirizine_(Xyzal)', 'Glucosamine', 'Tolterodine_(Detrol)', 'Galantamine', 'Tiotropium_(Spiriva)', 'Nystatin_Topical_Product', 'Leuprolide_(Lupron)', 'Pyrilamine_(Tritan)', 'Pentosan_Polysulphate_Sodium_(Elmiron)', 'Ciclopirox_Topical']"
986,"Hi doctor, I think I have a hydrocele of the testicle. What medications do I need to take?","['Hydrocele of testicle', 'Medications']","['Mass_or_swelling_around_the_anus', 'Adderall']",You will need to take Flurbiprofen to relieve any pain and swelling associated with the hydrocele. You do not need the other medications listed as they are used to treat other conditions.,"['Flurbiprofen', 'Pain relief', 'Swelling relief', 'Hydrocele']","['Flumazenil', 'Oxycodone', 'Skin_swelling', 'Hydrocodone']"
987,"Doctor, I have been experiencing severe back pain and my doctor suspects that I have degenerative disc disease. Can you prescribe something to relieve my pain?","['Severe back pain', 'Degenerative disc disease', 'Pain relief medication']","['Back_pain', 'Osteochondrosis', 'Oxycodone']","Yes, I can prescribe you a combination of medications to help manage your pain. You will need to take Pregabalin (Lyrica), Bupivacaine, Carisoprodol (Soma), Tizanidine, Iohexol (Omnipaque), Nabumetone, Iopamidol (Isovue), Oxymorphone (Opana), Diclofenac Topical Product, Chlorzoxazone, Tegaserod (Zelnorm), and Chondroitin to alleviate your symptoms.","['Pregabalin (Lyrica)', 'Bupivacaine', 'Carisoprodol (Soma)', 'Tizanidine', 'Iohexol (Omnipaque)', 'Nabumetone', 'Iopamidol (Isovue)', 'Oxymorphone (Opana)', 'Diclofenac Topical Product', 'Chlorzoxazone', 'Tegaserod (Zelnorm)', 'Chondroitin', 'Pain management medications']","['Pregabalin_(Lyrica)', 'Bupivacaine', 'Carisoprodol_(Soma)', 'Tizanidine', 'Iohexol_(Omnipaque)', 'Nabumetone', 'Iodoquinol', 'Oxymorphone_(Opana)', 'Diclofenac_Topical_Product', 'Chlorzoxazone', 'Temazepam', 'Chondroitin-Glucosamine', 'Fenoprofen_(Progesic)']"
988,"Doctor, I have been experiencing abnormal hair growth in unwanted areas of my body like my face, chest, and back. It's really making me insecure and uncomfortable.","['Abnormal hair growth', 'Unwanted hair growth', 'Facial hair growth', 'Chest hair growth', 'Back hair growth', 'Insecurities', 'Discomfort. ']","['Unwanted_hair', 'Irregular_appearing_scalp', 'Skin_growth', 'Excessive_growth', 'Back_mass_or_lump', 'Low_self-esteem', 'Sleepiness']","It sounds like you are experiencing hirsutism. To treat this condition, I would recommend using a combination of medications such as Eflornithine topical cream, Spironolactone, and Ortho Cyclen birth control pills to balance out your hormones. In addition to these, I would also prescribe you Hydroquinone topical cream, Adapalene topical gel or Tretinoin topical cream to lighten and exfoliate the affected areas. If needed, I may also consider prescribing Modicon birth control pills, Betamethasone topical product or Doxepin topical cream. Lastly, L-Methylfolate to support your overall health.","['hirsutism', 'Eflornithine topical cream', 'Spironolactone', 'Ortho Cyclen birth control pills', 'Hydroquinone topical cream', 'Adapalene topical gel', 'Tretinoin topical cream', 'Modicon birth control pills', 'Betamethasone topical product', 'Doxepin topical cream', 'L-Methylfolate']","['Hyperhidrosis', 'Fluticasone_Topical_Product', 'Spironolactone', 'Ortho_Cyclen', 'Hydrocortisone-Iodoquinol_Topical', 'Adapalene-Benzoyl_Peroxide_Topical', 'Tretinoin_Topical', 'Medroxyprogesterone', 'Betamethasone_Topical_Product', 'Doxepin', 'Methylphenidate']"
989,"Doctor, I think I dislocated my foot during a game of soccer. It's really painful and I can't put any weight on it. What medication should I take?","['Foot dislocation', 'Pain', 'Inability to bear weight', 'Medication']","['Foot_or_toe_pain', 'Headache', 'Eating_disorder', 'Adderall']","Based on your symptoms, I would recommend starting with Bupivacaine to help with pain management. We will also prescribe Diclofenac for pain and inflammation. Additionally, we'll administer Cefazolin to prevent infection and Celecoxib (Celebrex) for your swelling.","['Bupivacaine', 'Diclofenac', 'Cefazolin', 'Celecoxib (Celebrex)']","['Bupivacaine', 'Dicloxacillin', 'Cefazolin', 'Cefadroxil']"
990,"Doctor, I have been experiencing pain in my lower abdomen and trouble urinating. After a few tests, my doctor has diagnosed me with Hydronephrosis. What medication do I need to take?","['Lower abdominal pain', 'Trouble urinating', 'Hydronephrosis']","['Lower_abdominal_pain', 'Painful_urination', 'Pyelonephritis']","Based on your diagnosis, you will need to take a combination of medications to treat Hydronephrosis. Your medication regimen will consist of Iohexol (Omnipaque), Meropenem, Ephedrine (Kie), Isosorbide Dinitrate, Prazosin, and Potassium Citrate. These medications will help relieve the pain and improve urine flow.","['Iohexol (Omnipaque)', 'Meropenem', 'Ephedrine (Kie)', 'Isosorbide Dinitrate', 'Prazosin', 'Potassium Citrate', 'Hydronephrosis', 'Pain', 'Urine flow']","['Iohexol_(Omnipaque)', 'Meropenem', 'Ephedrine_(Kie)', 'Isosorbide_Dinitrate', 'Oxaprozin', 'Potassium_Citrate', 'Pyelonephritis', 'Headache', 'Retention_of_urine']"
991,"Doctor, I have been diagnosed with diverticulosis. What medications should I take for it?","['Diverticulosis', 'Medications']","['Hemoptysis', 'Adderall']","You should take Lubiprostone (Amitiza) to help regulate your bowel movements and prevent constipation. Additionally, Psyllium and Methylcellulose (Citrucel) can also help to bulk up your stool to prevent further diverticular disease.","['Lubiprostone (Amitiza)', 'Psyllium', 'Methylcellulose (Citrucel)', 'Bowel movements', 'Constipation', 'Diverticular disease']","['Leuprolide_(Lupron)', 'Tacrolimus_(Prograf)', 'Methocarbamol', 'Constipation', 'Flatulence', 'Infectious_gastroenteritis']"
992,I had surgery yesterday and I'm experiencing a lot of pain. What medications should I take?,"['Surgery', 'Pain', 'Medications']","['Other_therapeutic_procedures', 'Headache', 'Adderall']","You should take Orphenadrine (Flexon), Butorphanol (Stadol), and Chlorzoxazone to manage the pain caused by the operation.","['Orphenadrine (Flexon)', 'Butorphanol (Stadol)', 'Chlorzoxazone', 'Pain management']","['Orphenadrine_(Flexon)', 'Diphenhydramine_(Benadryl)', 'Chlorzoxazone', 'Chronic_pain_disorder']"
993,"Doctor, I have been diagnosed with Huntington's disease. What medication do you recommend?","[""Huntington's disease"", 'Medication recommendation']","['Seizures', 'Levocetirizine_(Xyzal)']","For Huntington's disease, you will require a combination of medication. I would recommend Quetiapine (Seroquel), Memantine (Namenda), Risperidone, Sertraline (Zoloft), Tetrabenazine, Rivastigmine (Exelon), Atomoxetine (Strattera), Tizanidine, Lactulose, Donepezil (Aricept), and Mirtazapine.","['Quetiapine (Seroquel)', 'Memantine (Namenda)', 'Risperidone', 'Sertraline (Zoloft)', 'Tetrabenazine', 'Rivastigmine (Exelon)', 'Atomoxetine (Strattera)', 'Tizanidine', 'Lactulose', 'Donepezil (Aricept)', 'and Mirtazapine']","['Quetiapine_(Seroquel)', 'Memantine_(Namenda)', 'Risperidone', 'Sertraline_(Zoloft)', 'Benzonatate', 'Rivastigmine_(Exelon)', 'Atomoxetine_(Strattera)', 'Tizanidine', 'Lactulose', 'Donepezil_(Aricept)', 'Mirtazapine']"
994,"Doctor, I was diagnosed with West Nile virus, what kind of medications do I need to take?","['West Nile virus', 'medications']","['Dengue_fever', 'Adderall']",You will need to take Rabbit Anti-Human T-Lymphocyte Globulin (Thymoglobulin) and Gemtuzumab (Mylotarg) to combat the West Nile virus.,"['Rabbit Anti-Human T-Lymphocyte Globulin (Thymoglobulin)', 'Gemtuzumab (Mylotarg)', 'West Nile virus']","['Rabbit_Anti-Human_T-Lymphocyte_Globulin_(Thymoglobulin)', 'Gemtuzumab_(Mylotarg)', 'Dengue_fever']"
995,"Doctor, I have been diagnosed with lymphoma. What medications do I need to take?","['Lymphoma', 'Medications']","['Lymphedema', 'Adderall']","You will require a combination of medications for your treatment, including Rituximab, Doxorubicin, Cyclophosphamide, Vincristine, Dexamethasone, Pegfilgrastim (Neulasta), Filgrastim (Neupogen), Palonosetron (Aloxi), Acyclovir, Vinblastine, Darbepoetin Alfa (Aranesp), and Bleomycin. These drugs will help treat your condition and prevent it from progressing further.","['Rituximab', 'Doxorubicin', 'Cyclophosphamide', 'Vincristine', 'Dexamethasone', 'Palonosetron', 'Acyclovir', 'Vinblastine', 'Darbepoetin Alfa (Aranesp)', 'and Bleomycin\\']","['Rituximab', 'Doxepin', 'Cyclosporine', 'Levocarnitine', 'Dexamethasone', 'Palonosetron_(Aloxi)', 'Vancomycin', 'Sevoflurane', 'Darbepoetin_Alfa_(Aranesp)', 'Bleomycin']"
996,"Hi doctor, I have been having red, itchy bumps on my skin after going out in the sun. I think it may be sun dermatitis. What medication should I use?","['Red', 'itchy bumps on skin', 'Sun dermatitis', 'Medication']","['Redness_in_ear', 'Itching_of_skin', 'Skin_irritation', 'Adderall']",I would recommend using Clobetasol Topical for the redness and itching. It should help reduce inflammation and provide relief. ,"['Clobetasol Topical', 'Redness', 'Itching', 'Inflammation', 'Relief']","['Clobetasol_Topical', 'Eye_redness', 'Itching_of_skin', 'Spondylitis', 'Depression']"
997,"Doctor, I have been feeling extremely fatigued and weak lately. I was diagnosed with chronic kidney disease and believe I might have anemia. ","['Fatigue', 'Weakness', 'Chronic kidney disease', 'Anemia']","['Fatigue', 'Weakness', 'Chronic_pain_disorder', 'Hyperkalemia']","Yes, your symptoms do seem to align with anemia due to chronic kidney disease. In order to manage your anemia, I would like to prescribe you Darbepoetin Alfa (Aranesp), Epoetin Alfa (Procrit), and Ferric Oxide, Saccharated (Venofer). These will help increase your red blood cell count and improve your energy levels. Additionally, I will prescribe Furosemide to help manage your fluid retention, Allopurinol to reduce uric acid levels, Digoxin to help with heart function, Ergocalciferol and Calcitriol to manage your calcium and vitamin D levels and prevent bone disease, Paricalcitol (Zemplar) to regulate your parathyroid hormone levels, Hydralazine and Isosorbide to lower blood pressure, and Sodium Bicarbonate to manage the acidity level in your blood. All of these medications should work together to manage your anemia and other symptoms of chronic kidney disease.","['Anemia', 'Chronic kidney disease', 'Darbepoetin Alfa (Aranesp)', 'Epoetin Alfa (Procrit)', 'Ferric Oxide', 'Saccharated (Venofer)', 'Furosemide', 'Allopurinol', 'Digoxin', 'Ergocalciferol', 'Calcitriol', 'Paricalcitol (Zemplar)', 'Hydralazine', 'Isosorbide', 'Sodium Bicarbonate. ']","['Hyperkalemia', 'Chronic_pain_disorder', 'Darbepoetin_Alfa_(Aranesp)', 'Epoetin_Alfa_(Procrit)', 'Ferric_Oxide', 'Saccharated_(Venofer)', 'Furosemide', 'Allopurinol', 'Digoxin', 'Ergotamine', 'Calcitriol', 'Phenelzine_(Nardil)', 'Hydralazine', 'Isosorbide', 'Sodium_Bicarbonate']"
998,"Hi doctor, I had an injury to my internal organ, and I was wondering what medications I need to take.","['Internal organ injury', 'Medications']","['Injury_to_the_abdomen', 'Adderall']","I would recommend taking Cefoxitin to prevent any infections, Vecuronium to relax the muscles, Sodium Polystyrene Sulfonate (Kayexalate) to treat high potassium levels, Sucralfate (Carafate) to coat the stomach and intestines, Silodosin (Rapaflo) to improve urination, Barium Sulfate for imaging tests, Lactic Acid Topical to treat skin irritation, Sevelamer (Renvela) to lower phosphorus levels in the blood and Alfuzosin (Uroxatral) to treat urinary problems. Additionally, if you have not received Rabies Vaccine, I would advise you to get it.","['Cefoxitin', 'Vecuronium', 'Sodium Polystyrene Sulfonate (Kayexalate)', 'Sucralfate (Carafate)', 'Silodosin (Rapaflo)', 'Barium Sulfate', 'Lactic Acid Topical', 'Sevelamer (Renvela)', 'Alfuzosin (Uroxatral)', 'Rabies Vaccine']","['Cefoxitin', 'Vecuronium', 'Sodium_Polystyrene_Sulfonate_(Kayexalate)', 'Sucralfate_(Carafate)', 'Selegiline', 'Barium_Sulfate', 'Acetic_Acid_Topical', 'Prasugrel_(Effient)', 'Oxaprozin', 'Rabies_Vaccine_(Obsolete)']"
999,"Doctor, I have been experiencing a lot of redness and pain in my eyes, and I even feel like there is a foreign body in my eye, what could be wrong with me?","['Redness in eyes', 'Eye pain', 'Sensation of foreign body in eye']","['Eye_redness', 'Pain_in_eye', 'Foreign_body_sensation_in_eye']","It sounds like you might have scleritis, which is inflammation of the sclera or the white part of the eye. I would prescribe you a combination of medications including Prednisolone Ophthalmic, Timolol, Loteprednol-Tobramycin Ophthalmic, Prednisolone-Sodium Sulfacetamide Ophthalmic, Fluorometholone Ophthalmic, Nepafenac Ophthalmic, Fluorescein Ophthalmic, Brimonidine Ophthalmic, Tropicamide Ophthalmic, Erythromycin Topical Product, and Benoxinate-Fluorescein Ophthalmic to alleviate the pain, redness, and inflammation caused by Scleritis.","['Scleritis', 'Prednisolone Ophthalmic', 'Timolol', 'Loteprednol-Tobramycin Ophthalmic', 'Prednisolone-Sodium Sulfacetamide Ophthalmic', 'Fluorometholone Ophthalmic', 'Nepafenac Ophthalmic', 'Fluorescein Ophthalmic', 'Brimonidine Ophthalmic', 'Tropicamide Ophthalmic', 'Erythromycin Topical Product', 'Benoxinate-Fluorescein Ophthalmic', 'Pain', 'Redness', 'Inflammation. ']","['Cornea_infection', 'Prednisolone_Ophthalmic', 'Timolol', 'Loteprednol-Tobramycin_Ophthalmic', 'Sodium_Sulfacetamide_Ophthalmic', 'Fluorometholone_Ophthalmic', 'Suprofen_Ophthalmic', 'Fluorescein_Ophthalmic', 'Brimonidine_Ophthalmic', 'Tropicamide_Ophthalmic', 'Erythromycin', 'Ciprofloxacin_Ophthalmic', 'Headache', 'Eye_redness', 'Spondylitis']"
1000,"Doctor, I have a growth over my eye and it's bothering me a lot. ","['Growth over eye', 'Eye irritation', 'Eye discomfort']","['Mass_on_eyelid', 'Itchiness_of_eye', 'Symptoms_of_eye']","You're most likely talking about a pterygium. We can start with prescribed eye drops and ointments such as Moxifloxacin, Prednisolone Ophthalmic, Loteprednol-Tobramycin, Bimatoprost, Fluorometholone, Loteprednol, Dexamethasone-Tobramycin, and Gatifloxacin. We can also add an ocular lubricant to reduce dryness and irritation. In more severe cases, we may use Timolol or Ofloxacin as additional medication or recommend Portia as a surgical treatment.","['Pterygium', 'Eye drops and Ointments', 'Moxifloxacin', 'Prednisolone Ophthalmic', 'Loteprednol-Tobramycin', 'Bimatoprost', 'Fluorometholone', 'Loteprednol', 'Dexamethasone-Tobramycin', 'Gatifloxacin', 'Ocular lubricant', 'Timolol', 'Ofloxacin', 'Surgical treatment']","['Tacrolimus_(Prograf)', 'Ocular_Lubricant', 'Moxifloxacin_(Avelox)', 'Prednisolone_Ophthalmic', 'Loteprednol-Tobramycin_Ophthalmic', 'Bimatoprost_Ophthalmic', 'Fluorometholone_Ophthalmic', 'Loteprednol_Ophthalmic', 'Dexamethasone-Tobramycin_Ophthalmic', 'Gatifloxacin_(Zymar)', 'Ketorolac_Ophthalmic_Product', 'Timolol', 'Ofloxacin', 'Other_therapeutic_procedures']"
1001,"Doctor, I think I have a fungal infection on my skin. It's itchy and there are some patches that look scaly and reddish.","['Fungal infection', 'Skin itching', 'Scaly patches', 'Reddish patches']","['Vaginal_yeast_infection', 'Itching_of_skin', 'Abnormal_appearing_skin', 'Skin_lesion']","I see. For fungal infections on the skin, we usually recommend topical medications such as Clotrimazole, Ketoconazole, Terbinafine, Betamethasone-Clotrimazole, Selenium Sulfide, Econazole, Miconazole, Ciclopirox, or Nystatin. In some cases, we may also prescribe oral medication such as Fluconazole or Terbinafine. Which one do you think would be more suitable for you?","['Fungal infections on the skin', 'Topical medications', 'Clotrimazole', 'Ketoconazole', 'Terbinafine', 'Betamethasone-Clotrimazole', 'Selenium Sulfide', 'Econazole', 'Miconazole', 'Ciclopirox', 'Nystatin', 'Oral medication', 'Fluconazole', 'Terbinafine']","['Skin_on_leg_or_foot_looks_infected', 'Docosanol_Topical', 'Clotrimazole', 'Ketoconazole', 'Terbinafine_Topical', 'Betamethasone-Clotrimazole_Topical', 'Selenium_Sulfide_Topical', 'Econazole_Topical', 'Miconazole_Topical_Product', 'Ciclopirox_Topical', 'Nystatin_Topical_Product', 'Propofol', 'Fluconazole_(Diflucan)', 'Terbutaline']"
1002,"Hi doctor, I think I took too much insulin by mistake. ",['Insulin overdose'],['Insulin'],"Don't worry, we can counteract the effects of the insulin overdose. I will prescribe you charcoal to absorb any remaining insulin in your stomach, glucose to raise your blood sugar levels, and exenatide (Byetta) to help regulate insulin production. We'll also need to monitor you closely and potentially use medications such as heparin and dexamethasone topical product as necessary.","['Insulin overdose', 'Charcoal', 'Glucose', 'Exenatide (Byetta)', 'Heparin', 'Dexamethasone topical product', 'Blood sugar levels']","['Insulin', 'Charcoal', 'Glucose_measurement_(Glucose_level)', 'Exenatide_(Byetta)', 'Heparin', 'Dexamethasone_Topical_Product', 'Hemoglobin_A1c_measurement_(Hemoglobin_a1c_test)']"
1003,"Hi doctor, I have been experiencing excessive thirst, confusion, and nausea recently. My urine output is also decreasing. I think I might have Syndrome of inappropriate secretion of ADH (SIADH).","['Excessive thirst', 'Confusion', 'Nausea', 'Decreased urine output', 'Syndrome of inappropriate secretion of ADH (SIADH)']","['Excessive_appetite', 'Headache', 'Nausea', 'Retention_of_urine', 'Salivary_gland_disorder']","Yes, based on your symptoms, it does seem like you might have SIADH. The required medications for your condition are Buspirone (Buspar), Meclizine, Rosuvastatin (Crestor), Valsartan (Diovan), Carvedilol, Insulin, Ceftriaxone, and Esomeprazole (Nexium). Additionally, air is the most important medication to promptly address the symptoms you are experiencing. I will also prescribe you Insulin, Aspart, Human (Novolog) and Meperidine (Demerol) to manage your condition. Note I must mention that this dialogue is an imaginary one and the prescribed medications for any condition/disease can only be decided by a qualified medical professional after thoroughly examining the patient. The information provided here is only for educational purposes and should not be taken as medical advice.","['SIADH', 'Buspirone (Buspar)', 'Meclizine', 'Rosuvastatin (Crestor)', 'Valsartan (Diovan)', 'Carvedilol', 'Insulin', 'Ceftriaxone', 'Esomeprazole (Nexium)', 'Insulin', 'Aspart', 'Human (Novolog)', 'and Meperidine (Demerol)']","['Temazepam', 'Buspirone_(Buspar)', 'Mecamylamine', 'Rosuvastatin_(Crestor)', 'Valganciclovir_(Valcyte)', 'Carvedilol', 'Insulin', 'Ceftriaxone', 'Esomeprazole_(Nexium)', 'Insulin_Glargine_(Lantus)', 'Aspart', 'Human_(Novolog)', 'Meperidine_(Demerol)']"
1004,"Hi doctor, I think I have a foreign body in my ear. It's been bothering me for a while now.","['Foreign body in ear', 'Ear discomfort']","['Mass_on_ear', 'Ear_pain']","Alright, I will prescribe some medication for you. You'll need to use Ofloxacin, Hydrogen Peroxide Topical, and Tetracaine Topical Product to help clear out any infection or debris. If the pain is too severe, you can also take Ketamine or use Benzocaine Topical. If necessary, Carbamide Peroxide Otic can assist in removing the foreign body. However, none of these medications will work if it is a live insect, and it is better to consult with an ENT doctor.","['Ofloxacin', 'Hydrogen Peroxide Topical', 'Tetracaine Topical Product', 'Ketamine', 'Benzocaine Topical', 'Carbamide Peroxide Otic', 'Infection', 'Debris', 'Pain', 'Foreign body']","['Ofloxacin', 'Hydrogen_Peroxide_Topical', 'Tetracaine_(One_Touch)', 'Ketamine', 'Benzocaine_Topical', 'Other_therapeutic_ear_procedures', 'Vaginitis', 'Unwanted_hair', 'Headache', 'Foreign_body_in_the_gastrointestinal_tract']"
1005,"Hi Doctor, I have been experiencing some symptoms like mood swings, anxiety and bloating every month before my periods. Is there anything that can help me with this?","['Mood swings', 'Anxiety', 'Bloating', 'Premenstrual syndrome (PMS)']","['Depression', 'Anxiety_and_nervousness', 'Stomach_bloating', 'Premenstrual_tension_or_irritability']","Yes, it sounds like you may be experiencing Premenstrual tension syndrome. I would recommend starting on a medication such as Fluoxetine (Prozac) or Citalopram (Celexa) to help with the mood swings and anxiety. In addition, you may benefit from taking a hormonal contraceptive such as Ortho Cyclen or Portia to regulate your menstrual cycle. For the bloating and headache, you can try taking Rizatriptan (Maxalt) or Frovatriptan (Frova) as needed. If your symptoms persist, we may consider adding Progesterone or Nortriptyline to your treatment plan. For any muscle pain, you can take Metaxalone (Skelaxin).","['Premenstrual tension syndrome', 'Fluoxetine (Prozac)', 'Citalopram (Celexa)', 'Hormonal contraceptive', 'Ortho Cyclen', 'Portia', 'Bloating', 'Headache', 'Rizatriptan (Maxalt)', 'Frovatriptan (Frova)', 'Progesterone', 'Nortriptyline', 'Muscle pain', 'Metaxalone (Skelaxin)']","['Premenstrual_tension_or_irritability', 'Fluoxetine_(Prozac)', 'Cilostazol', 'Medroxyprogesterone', 'Ortho_Cyclen', 'Portia', 'Stomach_bloating', 'Headache', 'Rizatriptan_(Maxalt)', 'Travoprost_(Travatan)', 'Progesterone', 'Nortriptyline', 'Muscle_pain', 'Metaxalone_(Skelaxin)']"
1006,"Doctor, I have been experiencing pain in my eye and my vision seems to be getting blurry. I visited an ophthalmologist who diagnosed me with orbital cellulitis. What medications do I need to take?","['Pain in eye', 'Blurred vision', 'Orbital cellulitis', 'Medications']","['Pain_in_eye', 'Diminished_vision', 'Cornea_infection', 'Adderall']","You will need to take a combination of antibiotics to treat the infection. I recommend Augmentin, Clindamycin, or Ciprofloxacin Ophthalmic. If the condition worsens, you may need to take Cefuroxime or Erythromycin. In severe cases, Vancomycin may be necessary. Other options include Cefdinir and Cefazolin. You may also need to use Polymyxin B Ophthalmic to reduce swelling and discomfort, and Oxytetracycline (300 Pro La) may also help. Additionally, Urea can be used to help the antibiotics penetrate the affected area more effectively.","['Augmentin', 'Clindamycin', 'Ciprofloxacin Ophthalmic', 'Cefuroxime', 'Erythromycin', 'Vancomycin', 'Cefdinir', 'Cefazolin', 'Polymyxin B Ophthalmic', 'Oxytetracycline', 'Urea']","['Augmentin', 'Clindamycin', 'Ciprofloxacin_Ophthalmic', 'Cefuroxime', 'Erythromycin', 'Vancomycin', 'Cefdinir', 'Cefazolin', 'Erythromycin_Ophthalmic', 'Dicyclomine', 'Urinalysis']"
1007,"Hi Doctor, I fell down last night and hurt my leg badly. Can you please tell me what medications I need to take?","['Leg injury', 'Medications']","['Injury_to_the_knee', 'Adderall']","Based on your injury, I suggest you take Collagenase Topical to help dissolve dead tissue and promote healing, Amikacin to prevent and treat any possible infections, and Fenoprofen (Progesic) to alleviate pain and inflammation.Patient Is that all, doctor? I'm also concerned about rabies since I was bitten by a dog earlier this week.","['Collagenase Topical', 'Amikacin', 'Fenoprofen (Progesic)', 'Injury', 'Possible infections', 'Pain', 'Inflammation', 'Dog bite', 'Rabies concern']","['Collagenase_Topical', 'Amiodarone', 'Fenoprofen_(Progesic)', 'Injury_to_the_knee', 'Vaginitis', 'Headache', 'Spondylitis', 'Injury_to_the_finger', 'Rabies_Vaccine_(Obsolete)']"
1008,"Doctor, I was diagnosed with Hepatic encephalopathy. What kind of medications should I take?","['Hepatic encephalopathy', 'medications']","['Cirrhosis', 'Adderall']","You need to take Lactulose, Spironolactone, Naloxone (Suboxone), Propranolol, Levocarnitine, Neomycin (Septa), Vitamin A, Zinc Sulfate, Sodium Polystyrene Sulfonate (Kayexalate), Zosyn, Thiamine, and Haloperidol.","['Lactulose', 'Spironolactone', 'Naloxone (Suboxone)', 'Propranolol', 'Levocarnitine', 'Neomycin (Septa)', 'Vitamin A', 'Zinc Sulfate', 'Sodium Polystyrene Sulfonate (Kayexalate)', 'Zosyn', 'Thiamine', 'and Haloperidol']","['Lactulose', 'Spironolactone', 'Naloxone_(Suboxone)', 'Propranolol', 'Levocarnitine', 'Neomycin_(Septa)', 'Vitamin_A', 'Magnesium_Sulfate', 'Sodium_Polystyrene_Sulfonate_(Kayexalate)', 'Zosyn', 'Thiamine', 'Haloperidol']"
1009,"Doctor, I have been diagnosed with bone cancer. What medications should I take for this disease?","['Bone cancer', 'Medications']","['Liver_cancer', 'Adderall']","You will need to take a combination of medications including Bactrim, Oxycodone, Fluconazole (Diflucan), Zoledronic Acid (Reclast), Sennosides, Usp (Perdiem), Mesna, Cyclophosphamide, Ifosfamide (Ifex), Filgrastim (Neupogen), Gemcitabine (Gemzar), Carboplatin, and Paclitaxel (Taxol).","['Bactrim', 'Oxycodone', 'Fluconazole (Diflucan)', 'Zoledronic Acid (Reclast)', 'Sennosides', 'Usp (Perdiem)', 'Mesna', 'Cyclophosphamide', 'Ifosfamide (Ifex)', 'Filgrastim (Neupogen)', 'Gemcitabine (Gemzar)', 'Carboplatin', 'Paclitaxel (Taxol)']","['Sulfamethoxazole_(Bactrim)', 'Oxycodone', 'Fluconazole_(Diflucan)', 'Phenazopyridine_(Azo)', 'Sennosides', 'Usp_(Perdiem)', 'Memantine_(Namenda)', 'Cyclosporine', 'Iohexol_(Omnipaque)', 'Filgrastim_(Neupogen)', 'Gemcitabine_(Gemzar)', 'Carbamazepine', 'Paclitaxel_(Taxol)']"
1010,"Doctor, I have been diagnosed with Leishmaniasis. What medication do I need to take?","['Leishmaniasis', 'Medication']","['Pinworm_infection', 'Adderall']","You will need to take a combination of medications including Air, Mecamylamine, and Troleandomycin, as well as Indium Oxyquinoline In-111, Pipecuronium, Grepafloxacin, Rabbit Anti-Human T-Lymphocyte Globulin, Iopanoic Acid, Conjugated Estrogens Topical, Malathion Topical, and Gemtuzumab. These medications will help to treat and manage your Leishmaniasis.","['Air medication', 'Mecamylamine medication', 'Troleandomycin medication', 'Indium Oxyquinoline In-111 medication', 'Pipecuronium medication', 'Grepafloxacin medication', 'Rabbit Anti-Human T-Lymphocyte Globulin medication', 'Iopanoic Acid medication', 'Conjugated Estrogens Topical medication', 'Malathion Topical medication', 'Gemtuzumab medication', 'Leishmaniasis condition']","['Flumazenil', 'Mecamylamine', 'Troleandomycin', 'Indium_Oxyquinoline_In-111_(Indium_In-111_Oxyquinoline)', 'Pipecuronium_(Arduan)', 'Grepafloxacin_(Raxar)', 'Rabbit_Anti-Human_T-Lymphocyte_Globulin_(Thymoglobulin)', 'Iopanoic_Acid', 'Conjugated_Estrogens_Topical', 'Malathion_Topical', 'Gemcitabine_(Gemzar)', 'Tongue_lesions']"
